Player,Team,Goals,Shots on target,Passes,"Passing accuracy, %",Total shots (inc. Blocked),% Goals-to-shots (5+ shots),Shots without scoring,"Passing accuracy, %",Crosses,Tackles,Interceptions,Goals conceded,Saves made,"Saves to shots ratio, %",Offsides,Yellow cards
Darijo Srna,Croatia,,,,,,,,,16,13,,,,,,
Gordon Schildenfeld,Croatia,,,,,,,,,,,,,,,,
Ivan Perisic,Croatia,,,,60%,,,,,,,,,,,,
Ivan Rakitic,Croatia,,,,,,,,,,,,,,,,
Ivan Strinic,Croatia,,,,,,,,,14,,,,,,,
Luka Modric,Croatia,,,,,,,,,,,,,,,,
Mario Mandzukic,Croatia,3,4,,80%,,60%,,,,,,,,,,
Nikica Jelavic,Croatia,,,,,,,,,,,,,,,,
Stipe Pletikosa,Croatia,,,,,,,,,,,,3,13,81%,,
Vedran Corluka,Croatia,,,,,,,,,,,,,,,,
David Limbersky,Czech Republic,,,,,,,,,,,,,,,,2
Jaroslav Plasil,Czech Republic,,,,,,,,,,,,,,,,
Michal Kadlec,Czech Republic,,,,,,,,,,,,,,,,
Milan Baros,Czech Republic,,,,,,,,,,,,,,,3,
Petr Cech,Czech Republic,,,,,,,,,,,,6,9,60%,,
Petr Jiracek,Czech Republic,2,,,,,,,,,,,,,,,
Theodor Gebre Selassie,Czech Republic,,,,,,,,,,,,,,,,
Tomás Hübschman,Czech Republic,,,,,,,,,,,12,,,,,
Tomas Pekhart,Czech Republic,,,,,,,,,,,,,,,,
Tomas Rosicky,Czech Republic,,,,60%,,,,,,,,,,,,
Tomas Sivok,Czech Republic,,,,,,,,,,,,,,,,
Vaclav Pilar,Czech Republic,2,4,,,,25%,,,,,,,,,,
Daniel Agger,Denmark,,,,,,,,,,,21,,,,,
Dennis Rommedahl,Denmark,,,,,,,,,,,,,,,3,
Jakob Poulsen,Denmark,,,,,,,,,,,,,,,,
Michael Krohn-Dehli,Denmark,2,,,80%,,40%,,,,,,,,,,
Nicklas Bendtner,Denmark,2,,,60%,,40%,,,,,,,,,,
Niki Zimling,Denmark,,,,,,,,,,,,,,,,
Simon Kjaer,Denmark,,,,,,,,,,,,,,,,
Stephan Andersen,Denmark,,,,,,,,,,,,5,10,67%,,
Tobias Mikkelsen,Denmark,,,,,,,,,,,,,,,,
William Kvist,Denmark,,,,,,,,,,,12,,,,,
Ashley Young,England,,,,,,,,,,,,,,,,
Danny Welbeck,England,,,,,,,,,,,,,,,,
Glen Johnson,England,,,,,,,,,,,,,,,,
James Milner,England,,,,,,,,,17,,,,,,,
Joe Hart,England,,,,,,,,,,,,3,22,88%,,
John Terry,England,,,,,,,,,,,14,,,,,
Joleon Lescott,England,,,,,,,,,,,,,,,,
Scott Parker,England,,,,,,,,,,13,,,,,,
Steven Gerrard,England,,,,,,,,,,18,,,,,,
Theo Walcott,England,,,,,,,,,,,,,,,,
Wayne Rooney,England,,,,,,,,,,,,,,,,
Alou Diarra,France,,,,,,,,,,15,,,,,,
Franck Ribéry,France,,,,,,,6,,14,,,,,,,
Hugo Lloris,France,,,,,,,,,,,,5,6,,,
Jérémy Menez,France,,4,,80%,,20%,,,,,,,,,,2
Karim Benzema,France,,6,,,19,,19,,,,,,,,3,
Mathieu Debuchy,France,,,,,,,,,,,,,,,,
Olivier Giroud,France,,,,,,,,,,,,,,,,
Patrice Evra,France,,,,,,,,94%,,,,,,,,
Philippe Mexes,France,,,,,,,,,,,,,,,,2
Samir Nasri,France,,,,,,,,,,,,,,,,
