team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Arsenal FC,Arsenal,2018/2019,England,38,19,19,0,21,14,7,7,3,4,10,2,8,1.84,2.37,1.32,5,3,8,5,73,51,22,124,58,66,42,31,16,35,26,-4,47,41,55,67,107,49,8,7,1,26,11,15,4,1,3,24,13,11,209,125,84,76,40,36,58,61,56,377,210,167,208,116,92,169,94,75,412,218,194,28,14,14,28,8,20,0,6,-6,11,8,3,17,7,10,10,4,6,1.32,1.63,1,3.26,3.05,3.47,1.92,2.21,1.63,1.34,0.84,1.84,1.47,1.16,1.79,0.74,0.74,0.74,0.74,0.42,1.05,38,34,22,17,9,4,19,18,8,7,4,2,19,16,14,10,5,2,0,4,16,21,29,34,0,1,11,12,15,17,0,3,5,9,14,17,100,89,58,45,24,11,100,95,42,37,21,11,100,84,74,53,26,11,0,11,42,55,76,89,0,5,58,63,79,89,0,16,26,47,74,89,29,17,7,14,6,2,15,11,5,76,45,18,74,32,11,79,58,26,55,74,37,26,21,37,5,68,58,79,11,5,16,63,68,58,19,12,7,50,63,37,15,8,7,39,42,37,13,4,9,34,21,47,29,42,16,45,37,53,26,21,32,5.50,6.58,4.42,2,2.11,1.89,87,82,71,63,47,34,28,13,1.38,1.55,1.20,1.39,1.24,1.55,87,6,9,8,2,8,10,10,7,13,3,7,5,5,9,1,12,1,8,18,16,21,26,11,42,5
Tottenham Hotspur FC,Tottenham Hotspur,2018/2019,England,38,19,19,0,23,12,11,2,2,0,13,5,8,1.87,2,1.74,4,5,3,4,67,39,28,106,50,56,34,33,16,23,18,10,51,50,52,87,107,74,13,7,6,19,9,10,6,3,3,24,13,11,194,102,92,62,21,41,59,61,58,433,236,197,226,124,102,207,112,95,376,175,201,31,13,18,11,5,6,20,8,12,19,9,10,11,5,6,8,5,3,1.79,1.68,1.89,2.79,2.63,2.95,1.76,1.79,1.74,1.03,0.84,1.21,1.11,0.95,1.26,0.82,0.68,0.95,0.29,0.26,0.32,38,27,22,11,4,2,19,12,10,8,1,0,19,15,12,3,3,2,0,11,16,27,34,36,0,7,9,11,18,19,0,4,7,16,16,17,100,71,58,29,11,5,100,63,53,42,5,0,100,79,63,16,16,11,0,29,42,71,89,95,0,37,47,58,95,100,0,21,37,84,84,89,27,9,5,14,3,1,13,6,4,71,24,13,74,16,5,68,32,21,61,63,58,10,34,37,32,50,47,53,16,16,16,63,68,58,27,14,13,71,74,68,19,10,9,50,53,47,3,0,3,8,0,16,50,47,53,29,26,32,21,26,16,5.11,5.37,4.84,1.63,1.11,2.16,87,76,63,50,47,32,28,16,1.52,1.69,1.36,1.29,1.23,1.36,89,6,4,11,5,7,8,8,8,10,3,4,1,2,1,6,4,8,10,5,11,0,34,26,42,11
Manchester City FC,Manchester City,2018/2019,England,38,19,19,0,32,18,14,2,0,2,4,1,3,2.58,2.84,2.32,1,1,1,1,95,23,72,118,69,49,57,38,12,11,45,27,36,30,45,148,143,155,20,9,11,17,10,7,2,0,2,34,19,15,298,154,144,46,17,29,68,68,68,527,307,220,298,167,131,229,140,89,328,162,166,49,28,21,11,7,4,38,21,17,25,13,12,11,5,6,2,1,1,2.26,2.32,2.21,3.11,3.63,2.58,2.5,3,2,0.61,0.63,0.58,1.58,1.84,1.32,1.29,1.47,1.11,0.29,0.37,0.21,37,31,23,15,7,3,19,16,14,10,5,3,18,15,9,5,2,0,1,7,15,23,31,35,0,3,5,9,14,16,1,4,10,14,17,19,97,82,61,39,18,8,100,84,74,53,26,16,95,79,47,26,11,0,3,18,39,61,82,92,0,16,26,47,74,84,5,21,53,74,89,100,30,16,9,16,10,5,14,6,4,79,42,24,84,53,26,74,32,21,84,95,74,9,53,47,58,45,53,37,5,0,11,89,100,79,28,13,15,74,68,79,9,3,6,24,16,32,9,6,3,24,32,16,66,68,63,29,26,32,5,5,5,7.84,8.11,7.58,1.21,0.89,1.53,79,79,66,57,50,32,28,18,2.12,2.40,1.84,0.73,0.69,0.77,92,12,13,8,9,13,12,12,6,10,0,2,3,3,3,3,4,2,3,5,0,11,11,5,16,5
Leicester City FC,Leicester City,2018/2019,England,38,19,19,0,15,8,7,7,3,4,16,8,8,1.37,1.42,1.32,9,11,7,9,51,48,3,99,44,55,24,27,20,28,4,-1,67,71,63,71,86,61,10,6,4,22,9,13,8,6,2,13,6,7,210,108,102,67,37,30,51,54,48,420,238,182,222,118,104,198,120,78,351,184,167,15,10,5,27,12,15,-12,-2,-10,7,5,2,15,7,8,16,7,9,0.95,1.16,0.74,2.61,2.32,2.89,1.34,1.26,1.42,1.26,1.05,1.47,1.11,1.16,1.05,0.39,0.53,0.26,0.71,0.63,0.79,36,28,19,9,4,2,17,14,9,3,1,0,19,14,10,6,3,2,2,10,19,29,34,36,2,5,10,16,18,19,0,5,9,13,16,17,95,74,50,24,11,5,89,74,47,16,5,0,100,74,53,32,16,11,5,26,50,76,89,95,11,26,53,84,95,100,0,26,47,68,84,89,29,12,1,15,7,0,14,5,1,76,32,3,79,37,0,74,26,5,39,42,37,6,26,32,21,58,47,68,21,32,11,34,32,37,16,9,7,42,47,37,25,11,14,66,58,74,6,3,3,16,16,16,18,26,11,39,37,42,42,37,47,5.53,5.68,5.37,1.76,1.95,1.58,92,84,74,68,57,42,32,21,1.49,1.65,1.34,1.27,1.13,1.40,68,1,4,5,3,4,7,5,8,14,8,5,1,7,6,4,7,1,9,18,16,21,42,42,42,5
Crystal Palace FC,Crystal Palace,2018/2019,England,38,19,19,0,14,5,9,7,5,2,17,9,8,1.29,1.05,1.53,12,18,6,12,51,53,-2,104,42,62,19,32,23,30,-4,2,67,90,54,65,74,57,12,7,5,19,7,12,11,8,3,18,7,11,205,130,75,62,27,35,45,47,43,392,222,170,184,94,90,208,128,80,386,180,206,20,8,12,13,6,7,7,2,5,16,6,10,14,8,6,8,5,3,1.63,1.37,1.89,2.74,2.21,3.26,1.34,1,1.68,1.39,1.21,1.58,0.87,0.74,1,0.53,0.42,0.63,0.34,0.32,0.37,34,28,17,13,7,2,16,12,6,4,1,1,18,16,11,9,6,1,4,10,21,25,31,36,3,7,13,15,18,18,1,3,8,10,13,18,89,74,45,34,18,5,84,63,32,21,5,5,95,84,58,47,32,5,11,26,55,66,82,95,16,37,68,79,95,95,5,16,42,53,68,95,24,4,4,11,1,1,13,3,3,63,11,11,58,5,5,68,16,16,37,26,47,-6,32,37,26,50,37,63,29,42,16,47,37,58,27,13,14,71,68,74,22,13,9,58,68,47,3,1,2,8,5,11,42,32,53,37,42,32,21,26,16,5.39,6.84,3.95,1.63,1.42,1.84,95,92,79,71,61,42,37,18,1.30,1.45,1.15,1.48,1.26,1.70,76,1,3,3,10,5,3,7,8,11,1,2,3,4,7,9,8,8,11,18,26,11,45,47,42,11
Everton FC,Everton,2018/2019,England,38,19,19,0,15,10,5,9,4,5,14,5,9,1.42,1.79,1.05,8,7,12,8,54,46,8,100,51,49,30,24,21,25,9,-1,63,57,71,74,81,68,14,9,5,17,8,9,10,3,7,20,12,8,215,119,96,63,24,39,52,54,50,396,213,183,207,104,103,189,109,80,432,218,214,25,14,11,17,11,6,8,3,5,10,5,5,21,10,11,7,4,3,1.34,1.32,1.37,2.63,2.68,2.58,1.42,1.58,1.26,1.21,1.11,1.32,1.11,1.32,0.89,0.66,0.74,0.58,0.45,0.58,0.32,35,28,18,12,3,2,18,15,8,6,1,1,17,13,10,6,2,1,3,10,20,26,35,36,1,4,11,13,18,18,2,6,9,13,17,18,92,74,47,32,8,5,95,79,42,32,5,5,89,68,53,32,11,5,8,26,53,68,92,95,5,21,58,68,95,95,11,32,47,68,89,95,22,14,4,12,9,3,10,5,1,58,37,11,63,47,16,53,26,5,39,53,26,10,37,47,26,45,42,47,26,16,37,53,63,42,25,12,13,66,63,68,20,8,12,53,42,63,9,6,3,24,32,16,26,26,26,55,53,58,18,21,16,5.66,6.26,5.05,1.66,1.26,2.05,92,79,74,66,47,39,24,16,1.39,1.49,1.30,1.20,1.14,1.26,68,5,8,5,5,4,5,8,6,8,2,2,3,6,9,5,10,5,4,24,21,26,37,26,47,11
Burnley FC,Burnley,2018/2019,England,38,19,19,0,11,7,4,7,2,5,20,10,10,1.05,1.21,0.89,15,15,14,15,45,68,-23,113,56,57,24,21,32,36,-8,-15,76,71,81,50,54,48,8,5,3,21,11,10,12,3,9,13,8,5,140,80,60,77,33,44,41,42,39,309,177,132,150,85,65,159,92,67,360,185,175,24,14,10,29,12,17,-5,2,-7,9,7,2,17,7,10,12,5,7,1.16,1.47,0.84,2.97,2.95,3,1.18,1.26,1.11,1.79,1.68,1.89,1.39,1.37,1.42,0.63,0.74,0.53,0.76,0.63,0.89,35,31,22,16,5,4,19,17,11,7,1,1,16,14,11,9,4,3,3,7,16,22,33,34,0,2,8,12,18,18,3,5,8,10,15,16,92,82,58,42,13,11,100,89,58,37,5,5,84,74,58,47,21,16,8,18,42,58,87,89,0,11,42,63,95,95,16,26,42,53,79,84,26,16,7,14,8,3,12,8,4,68,42,18,74,42,16,63,42,21,29,37,21,7,21,26,16,55,58,53,32,16,47,34,42,26,19,11,8,50,58,42,20,8,12,53,42,63,11,5,6,29,26,32,24,37,11,45,37,53,32,26,37,3.68,4.21,3.16,2.03,1.74,2.32,89,82,74,63,50,34,18,8,0.86,0.96,0.74,1.62,1.41,1.84,79,5,5,3,8,3,5,4,4,8,7,10,6,5,4,7,10,4,15,18,11,26,53,53,53,0
Southampton FC,Southampton,2018/2019,England,38,19,19,0,9,5,4,12,8,4,17,6,11,1.03,1.21,0.84,16,14,15,16,45,65,-20,110,57,53,27,18,30,35,-3,-17,76,63,95,53,57,49,7,3,4,25,15,10,10,3,7,20,12,8,193,101,92,77,43,34,43,43,44,383,207,176,200,108,92,183,99,84,420,219,201,22,14,8,30,13,17,-8,1,-9,10,6,4,15,8,7,13,5,8,1.18,1.37,1,2.89,3,2.79,1.18,1.42,0.95,1.71,1.58,1.84,1.37,1.42,1.32,0.58,0.74,0.42,0.79,0.68,0.89,34,32,23,13,5,2,17,17,13,7,2,1,17,15,10,6,3,1,4,6,15,25,33,36,2,2,6,12,17,18,2,4,9,13,16,18,89,84,61,34,13,5,89,89,68,37,11,5,89,79,53,32,16,5,11,16,39,66,87,95,11,11,32,63,89,95,11,21,47,68,84,95,25,15,8,13,7,5,12,8,3,66,39,21,68,37,26,63,42,16,24,26,21,14,18,16,21,66,79,53,26,16,37,53,63,42,21,10,11,55,53,58,22,9,13,58,47,68,8,6,2,21,32,11,26,32,21,39,42,37,34,26,42,5.08,5.32,4.84,2.03,2.26,1.79,95,84,79,66,53,37,32,16,1.30,1.39,1.21,1.42,1.31,1.53,76,3,8,4,3,7,7,3,5,5,5,6,6,7,6,12,5,4,14,32,42,21,45,32,58,8
AFC Bournemouth,AFC Bournemouth,2018/2019,England,38,19,19,0,13,8,5,6,5,1,19,6,13,1.18,1.53,0.84,14,10,16,14,56,70,-14,126,55,71,30,26,25,45,5,-19,61,57,66,49,68,38,10,6,4,17,10,7,12,4,8,15,11,4,191,96,95,62,38,24,47,46,48,375,191,184,200,100,100,175,91,84,340,188,152,28,15,13,33,10,23,-5,5,-10,11,6,5,13,10,3,14,3,11,1.21,1.47,0.95,3.32,2.89,3.74,1.47,1.58,1.37,1.84,1.32,2.37,1.61,1.32,1.89,0.74,0.79,0.68,0.87,0.53,1.21,37,34,24,16,8,5,18,15,11,7,2,2,19,19,13,9,6,3,1,4,14,22,30,33,1,4,8,12,17,17,0,0,6,10,13,16,97,89,63,42,21,13,95,79,58,37,11,11,100,100,68,47,32,16,3,11,37,58,79,87,5,21,42,63,89,89,0,0,32,53,68,84,29,16,11,12,6,4,17,10,7,76,42,29,63,32,21,89,53,37,34,42,26,18,26,32,21,45,53,37,32,21,42,39,58,21,18,12,6,47,63,32,18,9,9,47,47,47,11,5,6,29,26,32,29,32,26,34,53,16,37,16,58,5.03,5.05,5.00,1.63,2,1.26,89,84,76,71,55,45,32,18,1.30,1.29,1.30,1.43,1.42,1.44,79,3,7,4,7,10,4,3,7,11,4,8,7,11,7,8,8,6,11,16,26,5,50,32,68,11
Manchester United FC,Manchester United,2018/2019,England,38,19,19,0,19,10,9,9,6,3,10,3,7,1.74,1.89,1.58,6,6,4,6,65,54,11,119,58,61,33,32,25,29,8,3,53,52,54,63,68,59,7,2,5,26,14,12,7,5,2,20,10,10,200,116,84,81,34,47,55,56,53,434,235,199,263,145,118,171,90,81,433,213,220,35,16,19,23,7,16,12,9,3,17,9,8,12,7,5,9,3,6,1.66,1.79,1.53,3.13,3.05,3.21,1.71,1.74,1.68,1.42,1.32,1.53,1.53,1.21,1.84,0.92,0.84,1,0.61,0.37,0.84,36,34,26,16,6,1,17,17,13,7,4,0,19,17,13,9,2,1,2,4,12,22,32,37,2,2,6,12,15,19,0,2,6,10,17,18,95,89,68,42,16,3,89,89,68,37,21,0,100,89,68,47,11,5,5,11,32,58,84,97,11,11,32,63,79,100,0,11,32,53,89,95,32,17,5,14,6,2,18,11,3,84,45,13,74,32,11,95,58,16,50,53,47,5,18,11,26,68,74,63,18,26,11,53,53,53,21,13,8,55,68,42,14,8,6,37,42,32,9,3,6,24,16,32,45,47,42,32,37,26,24,16,32,5.26,6.11,4.42,2.13,1.79,2.47,92,82,63,53,47,37,28,18,1.58,1.72,1.42,1.38,1.28,1.48,76,5,6,9,9,7,6,5,8,10,3,6,9,1,7,7,7,7,7,24,32,16,26,16,37,8
