round,home_team,home_score,away_score,away_team,notes
1,Tasmania,2,0,Karlsruher,"(Usbeck 68, 77)"
1,Neunkirchen,1,1,M'gladbach,"(Wingert 41 - Elfert 21) [53 Heiden (Neunkirchen)m/pen](sent off: Jansen (M'gladbach, 70))"
1,B'schweig,4,0,Dortmund,"(Ulsaß 37, Dulz 61, Gerwien 72, Moll 75)"
1,Frankfurt,2,0,Hamburger,"(Lechner 25, Huberts 56)(sent off: G.Dörfel (Hamburger, 63))"
1,TSV 1860,1,0,Bayern,"(Konietzka 1)(sent off: Danzberg (Bayern, 85))"
1,Werder,1,0,Nürnberg,(H.Schulz 57)
1,1. FC Köln,0,1,Hannover,(Bandura 30)
1,Meidericher,2,2,K'lautern,"(Lotz 58, van Haaren 71 - Rummel 76, 79)"
1,Stuttgart,1,0,Schalke,(Fichtel 21 o)
2,K'lautern,3,2,1. FC Köln,"(Reitgaßl 46, 50, Rummel 42 - C.Müller 15,Krauthausen 44)"
2,Hannover,2,1,Werder,"(Heiser 52, Bandura 67 - Ferner 73)"
2,Nürnberg,1,4,TSV 1860,"(Reisch 17 p - Brunnenmeier 1 p, 31, 37,Konietzka 58)"
2,Bayern,2,0,Frankfurt,"(Ohlhauser 23, Nafziger 86)"
2,Hamburger,2,1,B'schweig,"(Peltonen 21, Dehn 67 - Moll 20)"
2,Dortmund,1,0,Neunkirchen,(Emmerich 26)
2,M'gladbach,5,0,Tasmania,"(Heynckes 40, 74, Rupp 51, Netzer 64, 90)"
2,Stuttgart,2,0,Meidericher,"(Entenmann 5, Höller 85)"
2,Schalke,0,0,Karlsruher,
3,Meidericher,5,1,Schalke,"(Lotz 41, van Haaren 45, Rühl 56, Nolden 63 p,Versteeg 84 - Werner 68)[Aug 28]"
3,Karlsruher,3,3,M'gladbach,"(Witlatschil 42 p, 58, Zaczyk 80 - Heynckes 1, 77,Rupp 30) [40 Netzer (M'gladbach) m/pen]"
3,Tasmania,0,2,Dortmund,"(Emmerich 9, A.Schmidt 62)"
3,Neunkirchen,1,1,Hamburger,(Wingert 78 - Pohlschmidt 12)
3,B'schweig,2,4,Bayern,"(Ulsaß 63 p, 89 - G.Müller 35, 56, Ohlhauser 24,Drescher 76)"
3,Frankfurt,1,2,Nürnberg,"(Huberts 24 - Greif 12, Strehl 57)"
