Name,Code
"Angolan First Division",ANG-D1
"Argentine Primera División",ARG-AP
"Austria Regional League Central",AUT-CTR
"Austria Regional League East",AUT-EST
"Austria Regional League West",AUT-WST
"Austrian First League",AUT-EL
"Austrian Football Bundesliga",AUT-BL
"Azerbaijan Premier League",AZE-D1
"Belarusian Premier League",BLR-D1
"Belgian Pro League",BEL-PL
"Belgian Second Division",BEL-D2
"Bulgarian A Group",BUL-AFG
"Bulgarian B Football Group",BUL-BG
Bundesliga,GER-FA
"CONCACAF Champions League",NCA-CCC
"CONCACAF Champions League",NCA-CCL
"Campeonato Brasileiro Série A",BRA-D1
"Campeonato Brasileiro Série B",BRA-D2
Chilean,CHI-
"Chilean Primera División",CHI-AP
"Chinese FA Cup",CHN-CUP
"Chinese Super League",CHN-D1
"Columbian Categoría Primera A",COL-CL
"Columbian Categoría Primera B",COL-FA
"Confederation of African Football Champions League",CAF-CCL
"Confederation of African Football Confederation Cup",CAF-CCC
"Copa Argentina",ARG-FA
"Copa Sudamericana",CON-CS
"Coppa Italia",ITA-FA
"Costa Rican Primera División",CRC-AP
"Croatian Prva HNL (I)",CRO-D1
"Czech 2. Liga",CZE-D2
"Czech Gambrinus Liga (I)",CZE-D1
"Danish 1st Division",DEN-D1
"Danish Superliga",DEN-SL
"Dutch Eerste Divisie (Jupiler League)",NED-D1
"Dutch Eredivisie",NED-ERD
"Ecuadorian Serie A",ECU-D1
"England League Cup",ENG-LC
"English Community Shield",ENG-CS
"English Conference",ENG-FC
"English Football League Championship",ENG-ECH
"English Football League One",ENG-EL1
"English Football League Two",ENG-EL2
"English Premier League",ENG-PR
"Estonia Meistriliiga",EST-D1
"Finnish First Division",FIN-YKN
"Finnish Premier League",FIN-VKL
"French Championnat National",FRA-CN
"French League Cup",FRA-LC
"French Ligue 1",FRA-L1
"French Ligue 2",FRA-L2
"Georgian Premier League",GEO-D1
"German 2. Bundesliga",GER-2BL
"German 3. Liga",GER-3LG
"German Bundesliga",GER-BL
"German Regional League North",GER-NTH
"German Regionalliga Northeast",GER-RLNE
"German Regionalliga Südwest",GER-RLSW
"German Regionalliga West",GER-WST
"Honduran Professional National Football League",HON-APE
"Hungarian Division I",HUN-D1
"Iran Pro League",IRN-PL
"Ireland First Division",IRE-D1
"Ireland Premier Division",IRE-PR
"Irish League",NIR-IFA
"Israeli Premier League",ISL-PR
"Japanese League Division 1",JPN-D1
"Japanese League Division 2",JPN-D2
"Japanese League Division 3",JPN-D3
"K League Classic",KOR-D1
"Korean FA Cup",KOR-FA
"Latvian Higher League",LAT-D1
"League of Ireland Cup",IRE-LC
"League of Ireland Premier Division",IRE-FA
"Liga MX",MEX-AP
"Liga de Fútbol Profesional Boliviano",BOL-AP
"Lithuanian A League",LIT-D1
"Macedonian First League",FYR-D1
"Moldovan National Division",MDA-D1
"Montenegrin First League",MNE-D1
"North American Soccer League",USA-NASL
"Norwegian 2. Divisjon Group 1",NOR-2G1
"Norwegian 2. Divisjon Group 2",NOR-2G2
"Norwegian 2. Divisjon Group 3",NOR-2G3
"Norwegian 2. Divisjon Group 4",NOR-2G4
"Norwegian Adeccoligaen (II)",NOR-ADE
"Norwegian Tippeligaen (I)",NOR-TIP
"Paraguayan Primera División",PAR-CL
"Peruvian Primera División",PER-D1
"Polish Ekstraklasa",POL-D1
"Polish First League",POL-D3
"Polish I liga",POL-D2
"Portuguese Second Division",POR-LC
"Portuguese Segunda Liga",POR-LH
"Regionalliga Bayern (IV)",GER-RLBV
"Romanian Liga I",ROU-L1
"Romanian Liga II",ROU-L2
"Russian Football Premier League",RUS-PR
"Russian National Football League",RUS-D1
"Salvadoran Primera División",SLV-APE
"Scottish Football League First Division",SCO-D1
"Scottish Football League Second Division",SCO-D2
"Scottish Football League Third Division",SCO-D3
"Scottish League Cup",SCO-LC
"Scottish Premier League",SCO-PR
"Serbian SuperLiga",SRB-D1
"Singapore League",SIN-D1
"Slovak Super Liga",SVK-D1
"Slovenian PrvaLiga",SLO-D1
"South Africa's MTN 8 Cup",RSA-MTN
"South African Premier Division",RSA-PR
"Suruga Bank Championship",INT-SBC
"Swedish Allsvenskan (I)",SWE-ASV
"Swedish Superettan (II)",SWE-SPR
"Swiss Super League",SWI-CHL
"Swiss Super League",SWI-SL
"Thai Premier League",THA-TPL
"Torneo Argentino A",ARG-D2
"Turkish Super Cup",TUR-USC
"UEFA Champions League",UEFA-CHL
"UEFA Europa League",UEFA-UC
"UEFA Under 21 Championship",UEFA-U21
"US Major League Soccer",USA-MLS
"US Open Cup",USA-CUP
"Ukrainian Premier League",UKR-D1
"V. League (Vietnam)",VNM-VL
"Venezuelan Primera División",VEN-AP
