day,date,home_team,result,away_team
Saturday,April 13,CLB,4-0,D.C. United
Saturday,April 20,CLB,1-2,Tampa Bay Mutiny
Saturday,April 27,NY Red Bulls,0-2,CLB
Thursday,May 2,Sporting KC,6-4,CLB
Sunday,May 5,FC Dallas,1-0,CLB
Saturday,May 11,CLB,3-2,New England
Wednesday,May 15,D.C. United,5-2,CLB
Sunday,May 19,CLB,2-4,Colorado
Sunday,May 26,LA Galaxy,3-2,CLB
Saturday,June 1,San Jose,3-2,CLB
Saturday,June 8,CLB,3-4,Sporting KC
Wednesday,June 19,CLB,2-3,Colorado
Saturday,June 22,Tampa Bay Mutiny,3-4,CLB
Thursday,June 27,New England,1-2,CLB
Sunday,June 30,CLB,0-4,NY Red Bulls
Thursday,July 4,Tampa Bay Mutiny,4-1,CLB
Sunday,July 7,Colorado,2-1,CLB
Thursday,July 11,CLB,1-2,New England
Saturday,July 20,CLB,3-4,San Jose
Thursday,July 25,CLB,1-0,Tampa Bay Mutiny
Sunday,July 28,D.C. United,2-0,CLB
Wednesday,July 31,CLB,1-2,FC Dallas
Sunday,August 4,LA Galaxy,1-2,CLB
Saturday,August 10,CLB,3-2,D.C. United
Wednesday,August 14,FC Dallas,2-3,CLB
Sunday,August 18,CLB,2-0,San Jose
Saturday,August 24,CLB,2-1,Sporting KC
Wednesday,August 28,CLB,2-0,LA Galaxy
Saturday,September 7,Sporting KC,1-5,CLB
Sunday,September 15,CLB,2-0,NY Red Bulls
Wednesday,September 18,NY Red Bulls,1-0,CLB
Saturday,September 21,New England,0-1,CLB
