day,date,home_team,result,away_team
Saturday,March 29,DAL,0-1,New England
Saturday,April 5,DAL,2-1,San Jose
Sunday,April 13,Columbus,2-1,DAL
Friday,April 18,Sporting KC,2-1,DAL
Sunday,April 20,DAL,4-1,Colorado
Wednesday,April 23,Colorado,1-0,DAL
Saturday,April 26,LA Galaxy,1-2,DAL
Sunday,May 4,DAL,3-2,D.C. United
Saturday,May 10,D.C. United,2-3,DAL
Saturday,May 17,DAL,2-0,Tampa Bay Mutiny
Friday,May 23,Tampa Bay Mutiny,1-3,DAL
Sunday,June 1,New England,3-1,DAL
Friday,June 6,DAL,1-2,Sporting KC
Sunday,June 15,DAL,3-1,NY Red Bulls
Sunday,June 22,New England,3-2,DAL
Saturday,June 28,San Jose,3-1,DAL
Friday,July 4,DAL,2-3,D.C. United
Sunday,July 6,Sporting KC,1-3,DAL
Sunday,July 13,Columbus,1-2,DAL
Friday,July 18,DAL,3-1,San Jose
Sunday,July 20,Colorado,2-4,DAL
Friday,July 25,DAL,0-3,LA Galaxy
Saturday,August 2,DAL,1-2,Sporting KC
Friday,August 15,Tampa Bay Mutiny,2-1,DAL
Saturday,August 23,DAL,1-2,NY Red Bulls
Sunday,August 31,DAL,4-1,Colorado
Saturday,September 6,DAL,3-0,Columbus
Thursday,September 11,San Jose,0-1,DAL
Sunday,September 14,DAL,1-3,LA Galaxy
Tuesday,September 16,NY Red Bulls,0-1,DAL
Friday,September 19,LA Galaxy,2-1,DAL
Thursday,September 25,DAL,1-2,New England
