day,date,home_team,result,away_team
Saturday,March 29,LA Galaxy,0-1,DC
Saturday,April 5,DC,2-1,NY Red Bulls
Saturday,April 12,Colorado,2-5,DC
Saturday,April 19,NY Red Bulls,1-2,DC
Saturday,April 26,DC,2-3,San Jose
Friday,May 2,DC,2-0,LA Galaxy
Sunday,May 4,FC Dallas,3-2,DC
Saturday,May 10,DC,2-3,FC Dallas
Sunday,May 18,New England,0-1,DC
Thursday,May 22,DC,3-1,San Jose
Thursday,May 29,Columbus,2-3,DC
Sunday,June 1,San Jose,2-3,DC
Saturday,June 7,DC,5-0,Colorado
Saturday,June 14,New England,0-1,DC
Saturday,June 21,Sporting KC,6-1,DC
Friday,July 4,FC Dallas,2-3,DC
Sunday,July 6,DC,3-2,Tampa Bay Mutiny
Saturday,July 12,LA Galaxy,3-1,DC
Saturday,July 19,Sporting KC,3-2,DC
Friday,July 25,DC,2-1,Columbus
Sunday,July 27,NY Red Bulls,2-1,DC
Wednesday,July 30,DC,4-2,Columbus
Saturday,August 2,DC,2-3,Colorado
Saturday,August 9,DC,4-2,LA Galaxy
Saturday,August 16,Columbus,2-0,DC
Wednesday,August 27,DC,3-2,New England
Sunday,August 31,DC,2-0,Sporting KC
Saturday,September 13,Tampa Bay Mutiny,1-2,DC
Tuesday,September 16,DC,3-2,New England
Sunday,September 21,DC,1-2,Tampa Bay Mutiny
Friday,September 26,Tampa Bay Mutiny,1-5,DC
Sunday,September 28,DC,1-3,NY Red Bulls
