day,date,home_team,result,away_team
Saturday,March 21,LA Galaxy,4-3,SJ
Saturday,March 28,SJ,2-3,Colorado
Sunday,April 5,SJ,2-3,FC Dallas
Saturday,April 11,SJ,1-0,Chicago
Saturday,April 18,FC Dallas,1-2,SJ
Saturday,April 25,NY Red Bulls,4-3,SJ
Wednesday,April 29,D.C. United,3-1,SJ
Sunday,May 3,SJ,1-3,New England
Saturday,May 9,Colorado,2-3,SJ
Saturday,May 16,SJ,2-0,Fusion
Saturday,May 23,Sporting KC,0-1,SJ
Saturday,May 30,Columbus,4-1,SJ
Wednesday,June 3,SJ,0-4,D.C. United
Saturday,June 6,Colorado,2-0,SJ
Thursday,June 11,Chicago,5-2,SJ
Saturday,June 27,SJ,1-2,LA Galaxy
Friday,July 3,SJ,2-1,Columbus
Wednesday,July 15,Fusion,3-2,SJ
Saturday,July 18,SJ,0-1,Tampa Bay Mutiny
Saturday,July 25,SJ,2-1,Sporting KC
Wednesday,July 29,SJ,3-0,Chicago
Wednesday,August 5,New England,3-0,SJ
Sunday,August 9,SJ,5-1,NY Red Bulls
Saturday,August 15,Chicago,2-1,SJ
Saturday,August 22,SJ,2-1,FC Dallas
Saturday,August 29,SJ,1-3,Colorado
Thursday,September 3,Tampa Bay Mutiny,2-1,SJ
Saturday,September 5,Sporting KC,5-1,SJ
Sunday,September 13,FC Dallas,1-3,SJ
Wednesday,September 16,SJ,0-1,LA Galaxy
Sunday,September 20,LA Galaxy,0-1,SJ
Sunday,September 27,SJ,2-0,Sporting KC
