day,date,home_team,result,away_team
Saturday,March 21,Tampa Bay Mutiny,1-2,CLB
Sunday,March 29,FC Dallas,2-1,CLB
Saturday,April 4,CLB,2-1,D.C. United
Saturday,April 11,CLB,3-2,New England
Saturday,April 18,CLB,5-1,Fusion
Sunday,April 26,D.C. United,2-1,CLB
Thursday,April 30,Tampa Bay Mutiny,0-1,CLB
Saturday,May 9,Fusion,2-0,CLB
Sunday,May 17,CLB,2-4,LA Galaxy
Friday,May 22,New England,0-2,CLB
Wednesday,May 27,Sporting KC,2-1,CLB
Saturday,May 30,CLB,4-1,San Jose
Saturday,June 6,Chicago,2-0,CLB
Saturday,June 13,CLB,3-4,D.C. United
Saturday,June 20,CLB,2-1,NY Red Bulls
Friday,July 3,San Jose,2-1,CLB
Thursday,July 9,CLB,3-0,Chicago
Sunday,July 19,NY Red Bulls,3-0,CLB
Saturday,July 25,CLB,1-2,FC Dallas
Wednesday,July 29,Fusion,3-2,CLB
Saturday,August 8,CLB,6-1,New England
Wednesday,August 12,NY Red Bulls,3-1,CLB
Sunday,August 16,CLB,5-3,Sporting KC
Saturday,August 22,CLB,3-1,Tampa Bay Mutiny
Saturday,August 29,LA Galaxy,0-3,CLB
Sunday,September 6,CLB,4-3,NY Red Bulls
Wednesday,September 9,CLB,1-0,Fusion
Saturday,September 12,New England,2-0,CLB
Wednesday,September 16,CLB,2-4,Colorado
Saturday,September 19,Colorado,2-1,CLB
Thursday,September 24,CLB,3-4,Tampa Bay Mutiny
Sunday,September 27,D.C. United,3-2,CLB
