day,date,home_team,result,away_team
Sunday,March 15,Fusion,0-2,DC
Saturday,March 21,DC,3-2,Sporting KC
Sunday,March 29,DC,2-1,New England
Saturday,April 4,Columbus,2-1,DC
Saturday,April 11,DC,4-3,Colorado
Saturday,April 18,New England,2-1,DC
Sunday,April 26,DC,2-1,Columbus
Wednesday,April 29,DC,3-1,San Jose
Saturday,May 2,Chicago,1-3,DC
Saturday,May 9,DC,2-0,NY Red Bulls
Wednesday,May 13,DC,3-2,New England
Saturday,May 16,NY Red Bulls,4-3,DC
Saturday,May 23,DC,3-2,Tampa Bay Mutiny
Saturday,May 30,Tampa Bay Mutiny,1-2,DC
Wednesday,June 3,San Jose,0-4,DC
Sunday,June 7,DC,4-5,FC Dallas
Saturday,June 13,Columbus,3-4,DC
Thursday,June 25,Colorado,3-1,DC
Thursday,July 2,DC,3-1,Fusion
Friday,July 10,DC,3-0,LA Galaxy
Wednesday,July 15,New England,0-1,DC
Saturday,July 18,DC,4-1,Chicago
Saturday,July 25,LA Galaxy,0-1,DC
Wednesday,July 29,DC,3-2,Tampa Bay Mutiny
Friday,August 7,FC Dallas,0-1,DC
Saturday,August 22,DC,2-1,NY Red Bulls
Wednesday,August 26,Sporting KC,1-2,DC
Saturday,August 29,Tampa Bay Mutiny,3-2,DC
Sunday,September 13,Fusion,4-3,DC
Wednesday,September 16,NY Red Bulls,0-5,DC
Saturday,September 19,DC,1-3,Fusion
Sunday,September 27,DC,3-2,Columbus
