day,date,home_team,result,away_team
Saturday,March 20,MIA,2-3,NY Red Bulls
Sunday,March 28,MIA,2-1,New England
Saturday,April 3,MIA,1-4,Chicago
Saturday,April 10,Colorado,4-1,MIA
Thursday,April 15,MIA,2-1,FC Dallas
Saturday,April 24,MIA,1-0,Sporting KC
Saturday,May 1,Tampa Bay Mutiny,2-1,MIA
Saturday,May 8,New England,1-0,MIA
Saturday,May 15,NY Red Bulls,3-2,MIA
Saturday,May 22,MIA,1-3,D.C. United
Wednesday,May 26,FC Dallas,2-1,MIA
Saturday,May 29,MIA,2-1,Tampa Bay Mutiny
Saturday,June 5,Tampa Bay Mutiny,1-0,MIA
Thursday,June 10,D.C. United,3-1,MIA
Sunday,June 13,New England,4-3,MIA
Saturday,June 26,MIA,1-2,San Jose
Sunday,July 4,LA Galaxy,1-2,MIA
Saturday,July 10,MIA,2-0,Columbus
Saturday,July 24,NY Red Bulls,0-1,MIA
Thursday,July 29,MIA,3-2,Tampa Bay Mutiny
Sunday,August 1,Columbus,4-0,MIA
Saturday,August 7,MIA,2-0,NY Red Bulls
Saturday,August 14,Chicago,1-2,MIA
Saturday,August 21,MIA,2-3,D.C. United
Wednesday,August 25,D.C. United,3-1,MIA
Sunday,August 29,Sporting KC,2-0,MIA
Saturday,September 4,MIA,1-2,LA Galaxy
Saturday,September 11,MIA,2-1,New England
Sunday,September 19,San Jose,6-1,MIA
Sunday,September 26,Columbus,2-1,MIA
Sunday,October 3,MIA,4-1,Columbus
Saturday,October 9,MIA,2-0,Colorado
