day,date,home_team,result,away_team
Saturday,March 20,San Jose,1-3,CHI
Saturday,March 27,Sporting KC,0-3,CHI
Saturday,April 3,Fusion,1-4,CHI
Saturday,April 10,CHI,0-1,FC Dallas
Saturday,April 17,CHI,1-0,LA Galaxy
Saturday,May 1,CHI,3-2,D.C. United
Saturday,May 8,Tampa Bay Mutiny,2-1,CHI
Sunday,May 16,CHI,0-1,Colorado
Saturday,May 22,CHI,3-1,Sporting KC
Saturday,May 29,D.C. United,3-1,CHI
Saturday,June 5,New England,2-0,CHI
Saturday,June 12,LA Galaxy,2-1,CHI
Saturday,June 19,CHI,2-0,San Jose
Saturday,June 26,Colorado,2-0,CHI
Friday,July 2,CHI,2-1,FC Dallas
Sunday,July 4,FC Dallas,1-2,CHI
Saturday,July 10,CHI,2-0,NY Red Bulls
Friday,July 23,CHI,2-3,San Jose
Saturday,July 31,CHI,0-1,LA Galaxy
Thursday,August 5,Sporting KC,1-2,CHI
Sunday,August 8,CHI,5-0,Colorado
Saturday,August 14,CHI,1-2,Fusion
Sunday,August 22,FC Dallas,4-3,CHI
Wednesday,August 25,CHI,2-0,Sporting KC
Saturday,August 28,CHI,2-1,New England
Sunday,September 5,NY Red Bulls,1-2,CHI
Saturday,September 11,LA Galaxy,1-0,CHI
Friday,September 17,CHI,2-1,Tampa Bay Mutiny
Thursday,September 23,CHI,1-2,Columbus
Sunday,September 26,San Jose,2-0,CHI
Wednesday,October 6,Colorado,0-1,CHI
Sunday,October 10,Columbus,2-3,CHI
