day,date,home_team,result,away_team
Sunday,March 26,Fusion,3-1,RBNY
Saturday,April 1,RBNY,3-2,D.C. United
Saturday,April 8,San Jose,2-0,RBNY
Saturday,April 15,RBNY,0-1,Columbus
Wednesday,April 19,RBNY,1-2,Sporting KC
Saturday,April 22,D.C. United,2-3,RBNY
Saturday,April 29,RBNY,0-1,LA Galaxy
Saturday,May 6,Columbus,0-2,RBNY
Saturday,May 13,Sporting KC,2-0,RBNY
Saturday,May 20,RBNY,3-2,Tampa Bay Mutiny
Saturday,May 27,RBNY,4-1,Chicago
Saturday,June 3,LA Galaxy,0-2,RBNY
Friday,June 9,RBNY,0-3,Tampa Bay Mutiny
Saturday,June 17,RBNY,4-2,New England
Wednesday,June 21,RBNY,2-2,D.C. United
Saturday,June 24,Colorado,1-3,RBNY
Wednesday,June 28,RBNY,0-0,San Jose
Saturday,July 1,Tampa Bay Mutiny,0-2,RBNY
Wednesday,July 5,RBNY,2-1,FC Dallas
Saturday,July 8,Sporting KC,0-1,RBNY
Saturday,July 15,New England,0-2,RBNY
Saturday,July 22,RBNY,4-2,Fusion
Wednesday,August 2,D.C. United,3-2,RBNY
Sunday,August 6,Chicago,3-1,RBNY
Saturday,August 12,RBNY,2-1,New England
Wednesday,August 16,Tampa Bay Mutiny,4-3,RBNY
Sunday,August 20,RBNY,5-3,Colorado
Wednesday,August 23,RBNY,0-0,Sporting KC
Saturday,August 26,FC Dallas,4-6,RBNY
Saturday,September 2,Fusion,4-1,RBNY
Tuesday,September 5,RBNY,2-1,Fusion
Saturday,September 9,New England,4-3,RBNY
