day,date,home_team,result,away_team
Saturday,March 18,TBM,5-1,Columbus
Saturday,March 25,TBM,1-0,New England
Saturday,April 1,FC Dallas,1-0,TBM
Saturday,April 8,Colorado,1-0,TBM
Saturday,April 15,TBM,4-2,Colorado
Saturday,April 22,Sporting KC,1-0,TBM
Wednesday,April 26,TBM,4-0,San Jose
Friday,April 28,Chicago,5-1,TBM
Saturday,May 6,TBM,3-1,FC Dallas
Saturday,May 13,TBM,3-1,Columbus
Saturday,May 20,NY Red Bulls,3-2,TBM
Saturday,May 27,TBM,1-2,Sporting KC
Saturday,June 3,FC Dallas,2-3,TBM
Friday,June 9,NY Red Bulls,0-3,TBM
Saturday,June 17,LA Galaxy,2-1,TBM
Wednesday,June 21,TBM,1-4,Fusion
Saturday,June 24,Fusion,2-3,TBM
Wednesday,June 28,Columbus,1-2,TBM
Saturday,July 1,TBM,0-2,NY Red Bulls
Tuesday,July 4,TBM,3-0,D.C. United
Wednesday,July 12,D.C. United,2-2,TBM
Saturday,July 15,Chicago,0-0,TBM
Saturday,July 22,TBM,2-0,LA Galaxy
Wednesday,August 2,TBM,0-1,Chicago
Saturday,August 5,TBM,2-1,FC Dallas
Saturday,August 12,San Jose,1-2,TBM
Wednesday,August 16,TBM,4-3,NY Red Bulls
Saturday,August 19,New England,2-1,TBM
Saturday,August 26,TBM,3-3,Chicago
Wednesday,August 30,Columbus,3-4,TBM
Saturday,September 2,Sporting KC,1-0,TBM
Saturday,September 9,TBM,2-2,Sporting KC
