day,date,home_team,result,away_team
Saturday,March 18,MIA,1-1,New England
Sunday,March 26,MIA,3-1,NY Red Bulls
Saturday,April 1,MIA,0-0,San Jose
Saturday,April 8,MIA,0-0,Sporting KC
Saturday,April 15,Chicago,1-0,MIA
Saturday,April 22,LA Galaxy,2-0,MIA
Saturday,April 29,New England,1-1,MIA
Saturday,May 6,MIA,0-3,Chicago
Wednesday,May 10,MIA,1-0,D.C. United
Saturday,May 13,Colorado,1-2,MIA
Saturday,May 20,MIA,2-0,Colorado
Saturday,May 27,MIA,2-4,Columbus
Saturday,June 3,New England,2-0,MIA
Wednesday,June 7,Chicago,2-1,MIA
Saturday,June 10,MIA,4-2,Chicago
Saturday,June 17,San Jose,3-1,MIA
Wednesday,June 21,Tampa Bay Mutiny,1-4,MIA
Saturday,June 24,MIA,2-3,Tampa Bay Mutiny
Tuesday,July 4,MIA,2-1,New England
Saturday,July 8,MIA,3-5,LA Galaxy
Saturday,July 15,MIA,0-3,FC Dallas
Wednesday,July 19,FC Dallas,1-1,MIA
Saturday,July 22,NY Red Bulls,4-2,MIA
Saturday,August 5,MIA,3-1,D.C. United
Saturday,August 12,MIA,4-1,Colorado
Wednesday,August 16,Columbus,2-0,MIA
Friday,August 18,Sporting KC,1-2,MIA
Saturday,August 26,D.C. United,2-1,MIA
Wednesday,August 30,Colorado,3-1,MIA
Saturday,September 2,MIA,4-1,NY Red Bulls
Tuesday,September 5,NY Red Bulls,2-1,MIA
Saturday,September 9,D.C. United,2-6,MIA
