day,date,home_team,result,away_team
Saturday,April 7,FC Dallas,2-4,TBM
Saturday,April 14,TBM,1-2,Columbus
Saturday,April 21,NY Red Bulls,1-3,TBM
Saturday,April 28,TBM,0-1,Chicago
Saturday,May 5,Chicago,2-0,TBM
Wednesday,May 9,TBM,4-4,LA Galaxy
Saturday,May 12,Colorado,2-1,TBM
Saturday,May 19,Fusion,3-1,TBM
Saturday,May 26,TBM,0-4,Fusion
Saturday,June 2,TBM,1-2,Sporting KC
Wednesday,June 6,TBM,0-1,FC Dallas
Saturday,June 9,New England,3-0,TBM
Saturday,June 16,Columbus,6-1,TBM
Saturday,June 23,TBM,3-2,D.C. United
Saturday,June 30,Sporting KC,3-0,TBM
Wednesday,July 4,TBM,1-2,NY Red Bulls
Saturday,July 7,TBM,2-3,Chicago
Saturday,July 14,San Jose,2-1,TBM
Wednesday,July 18,FC Dallas,3-0,TBM
Saturday,July 21,TBM,1-2,Colorado
Saturday,August 4,TBM,2-0,San Jose
Saturday,August 11,Chicago,3-1,TBM
Saturday,August 18,LA Galaxy,5-1,TBM
Sunday,August 26,TBM,0-0,New England
Wednesday,August 29,TBM,2-3,FC Dallas
Saturday,September 1,D.C. United,5-1,TBM
Sunday,September 9,TBM,1-2,Columbus
