Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Matt Jordan,DAL,GK,26,26,2388,45,1.73,2/6,10,11,5,9,38.5
Zach Thornton,CHI,GK,27,27,2496,30,1.11,3/3,16,6,5,9,59.3
Joe Cannon,SJ,GK,25,25,2306,28,1.12,3/4,13,6,6,7,52.0
Matt Reis,LA,GK,16,15,1405,22,1.47,2/2,8,3,4,6,50.0
Nick Rimando,RSL,GK,25,25,2300,33,1.32,3/5,15,5,5,5,60.0
Tom Presthus,CLB,GK,25,25,2309,35,1.4,2/3,12,7,6,5,48.0
Kevin Hartman,LA,GK,11,11,1007,14,1.27,0/1,6,4,1,4,54.5
Tony Meola,KC,GK,17,17,1534,28,1.65,2/3,7,8,2,4,41.2
Tim Howard,COL,GK,26,26,2370,35,1.35,3/3,13,10,3,4,50.0
Bo Oshoniyi,KC,GK,11,10,938,25,2.5,0/0,4,5,1,3,36.4
Adin Brown,COL,GK,22,22,2018,51,2.32,4/5,3,16,3,3,13.6
Jose Fernandez,NE,GK,7,7,578,12,1.71,1/2,1,3,2,1,14.3
Mark Simpson,DC,GK,7,7,630,12,1.71,1/1,5,2,0,1,71.4
Juergen Sommer,NE,GK,10,10,911,17,1.7,0/1,3,6,1,1,30.0
Jeff Causey,NE,GK,11,10,1003,23,2.3,1/1,3,5,3,1,27.3
Mike Ammann,DC,GK,19,19,1739,38,2.0,3/5,3,14,2,1,15.8
Scott Garlick,COL,GK,26,26,2400,56,2.15,6/6,6,15,5,1,23.1
D.J. Countess,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Paul Grafer,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Taly Goode,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Henry Ring,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Rich Cullen,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Randy Dedini,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Anthony Latronica,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jon Lowery,TB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Dan Moss,KC,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Matt Napoleon,CLB,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Matt Nyman,TB,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Ronnie Pascale,DC,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Eric Pogue,DAL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Dan Popik,DAL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
T.J. Hannig,DC,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Preston Burpo,COL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Cole Burgman,DAL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Alex Deegan,DC,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Adam Throop,DAL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Joe Warren,TB,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
David Winner,MIA,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Chris Snitko,DAL,GK,1.0,0.0,24.0,2.0,2.0,0/0,0.0,0.0,0.0,0.0,0.0
Jon Conway,SJ,GK,1.0,1.0,90.0,1.0,1.0,0/0,0.0,1.0,0.0,0.0,0.0
Jeff Cassar,MIA,GK,1.0,1.0,90.0,3.0,3.0,0/0,1.0,0.0,0.0,0.0,100.0
Mark Dougherty,CLB,GK,2.0,1.0,100.0,1.0,1.0,0/0,1.0,0.0,0.0,0.0,50.0
David Kramer,COL,GK,5.0,5.0,466.0,8.0,1.6,1/1,0.0,3.0,2.0,0.0,0.0
Jon Busch,nan,GK,nan,nan,nan,nan,nan,/,nan,nan,nan,nan,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
