day,date,home_team,result,away_team
Saturday,April 12,SKC,3-2,D.C. United
Saturday,April 19,San Jose,1-1,SKC
Saturday,April 26,SKC,2-3,Chicago
Saturday,May 3,SKC,2-2,Columbus
Saturday,May 10,FC Dallas,1-3,SKC
Wednesday,May 14,SKC,1-1,New England
Saturday,May 17,D.C. United,1-1,SKC
Saturday,May 24,SKC,2-1,LA Galaxy
Saturday,May 31,New England,2-2,SKC
Saturday,June 7,SKC,2-1,NY Red Bulls
Saturday,June 14,LA Galaxy,2-1,SKC
Saturday,June 21,SKC,4-2,Chicago
Saturday,June 28,San Jose,0-0,SKC
Friday,July 4,Colorado,3-2,SKC
Saturday,July 12,SKC,5-1,FC Dallas
Saturday,July 19,Columbus,0-1,SKC
Saturday,July 26,Chicago,2-0,SKC
Friday,August 8,SKC,0-1,San Jose
Wednesday,August 13,NY Red Bulls,0-0,SKC
Saturday,August 16,FC Dallas,3-2,SKC
Friday,August 22,SKC,2-2,Colorado
Sunday,August 31,Columbus,1-0,SKC
Saturday,September 6,SKC,1-2,NY Red Bulls
Saturday,September 13,Colorado,1-0,SKC
Saturday,September 20,SKC,1-4,San Jose
Saturday,September 27,LA Galaxy,1-2,SKC
Saturday,October 4,SKC,4-2,Colorado
Saturday,October 11,SKC,2-1,LA Galaxy
Saturday,October 18,SKC,1-0,FC Dallas
Saturday,October 25,D.C. United,1-1,SKC
