day,date,home_team,result,away_team
Saturday,April 3,LA Galaxy,3-2,NE
Saturday,April 17,NE,1-3,San Jose
Sunday,April 25,NY Red Bulls,1-1,NE
Saturday,May 1,NE,2-1,LA Galaxy
Friday,May 7,Colorado,0-0,NE
Saturday,May 15,Columbus,1-0,NE
Saturday,May 22,NE,1-1,NY Red Bulls
Saturday,May 29,NE,0-1,D.C. United
Wednesday,June 2,Sporting KC,2-3,NE
Sunday,June 6,NE,1-2,Columbus
Saturday,June 12,FC Dallas,3-1,NE
Saturday,June 19,NE,1-3,Sporting KC
Saturday,June 26,NE,2-1,NY Red Bulls
Sunday,July 4,Colorado,1-0,NE
Sunday,July 11,Chicago,1-1,NE
Wednesday,July 14,NE,3-1,Chicago
Saturday,July 17,Columbus,1-1,NE
Saturday,July 24,San Jose,2-2,NE
Saturday,August 7,NE,2-2,Columbus
Wednesday,August 11,FC Dallas,0-3,NE
Saturday,August 14,D.C. United,2-2,NE
Saturday,August 21,NE,1-2,Sporting KC
Saturday,August 28,NE,0-0,D.C. United
Saturday,September 4,NE,0-1,San Jose
Saturday,September 11,NY Red Bulls,3-2,NE
Saturday,September 18,NE,6-1,Colorado
Saturday,September 25,Chicago,2-0,NE
Saturday,October 2,NE,2-0,FC Dallas
Saturday,October 9,D.C. United,1-0,NE
Saturday,October 16,NE,2-1,Chicago
