day,date,home_team,result,away_team
Saturday,April 2,RBNY,0-0,Real Salt Lake
Saturday,April 16,RBNY,2-2,Sporting KC
Friday,April 22,RBNY,0-1,Chicago
Saturday,April 30,Colorado,1-3,RBNY
Saturday,May 7,RBNY,0-1,San Jose
Saturday,May 14,Chicago,0-3,RBNY
Saturday,May 21,RBNY,2-2,New England
Wednesday,May 25,Sporting KC,1-0,RBNY
Saturday,May 28,Columbus,0-3,RBNY
Tuesday,May 31,RBNY,2-1,Chicago
Saturday,June 4,LA Galaxy,2-2,RBNY
Sunday,June 12,RBNY,0-0,D.C. United
Saturday,June 18,RBNY,3-2,Columbus
Saturday,June 25,New England,4-2,RBNY
Monday,July 4,Real Salt Lake,2-2,RBNY
Saturday,July 9,RBNY,2-1,LA Galaxy
Saturday,July 16,RBNY,1-1,Colorado
Wednesday,July 20,Columbus,1-0,RBNY
Saturday,July 23,San Jose,2-1,RBNY
Wednesday,July 27,RBNY,3-2,FC Dallas
Saturday,August 6,FC Dallas,2-2,RBNY
Wednesday,August 10,D.C. United,3-0,RBNY
Sunday,August 14,RBNY,2-1,Columbus
Sunday,August 21,RBNY,3-3,Chivas USA
Saturday,September 3,RBNY,2-2,Sporting KC
Saturday,September 10,Sporting KC,0-1,RBNY
Saturday,September 17,RBNY,5-4,New England
Saturday,September 24,New England,1-0,RBNY
Saturday,October 1,RBNY,1-4,D.C. United
Wednesday,October 5,Chicago,2-2,RBNY
Saturday,October 8,D.C. United,1-2,RBNY
Sunday,October 16,Chivas USA,0-2,RBNY
