Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Matt Reis,NE,GK,31,31,2784,162,115,35,1.13,4/5,71.0
Bo Oshoniyi,KC,GK,32,32,2880,163,112,44,1.38,1/1,68.7
D.J. Countess,RSL,GK,27,27,2422,170,112,54,2.0,3/3,65.9
Pat Onstad,SJ,GK,32,32,2880,136,105,31,0.97,4/5,77.2
Brad Guzan,ATL,GK,24,23,2079,156,104,46,2.0,7/9,66.7
Joe Cannon,COL,GK,27,27,2399,139,100,32,1.19,6/6,71.9
Scott Garlick,DAL,GK,28,27,2457,135,98,37,1.37,2/2,72.6
Kevin Hartman,LA,GK,31,31,2790,138,94,43,1.39,6/6,68.1
Nick Rimando,RSL,GK,30,30,2700,128,92,35,1.17,4/5,71.9
Tony Meola,MET,GK,15,15,1350,117,83,28,1.87,0/0,70.9
Zach Thornton,CHI,GK,27,26,2310,126,82,42,1.62,4/5,65.1
Zach Wells,MET,GK,17,17,1530,95,69,21,1.24,3/5,72.6
Jonny Walker,CLB,GK,16,16,1440,87,66,18,1.13,0/0,75.9
Jay Nolly,RSL,GK,5,5,450,46,34,11,2.2,1/1,73.9
Jon Busch,CLB,GK,9,9,765,50,34,14,1.56,0/0,68.0
Byron Foss,COL,GK,6,5,481,26,21,5,1.0,0/0,80.8
Bill Gaudette,CLB,GK,6,5,495,33,21,10,2.0,1/1,63.6
Sergio Garcia,CHV,GK,5,5,441,30,19,8,1.6,0/0,63.3
Martin Zuniga,CHV,GK,4,4,360,32,18,13,3.25,0/0,56.3
Matt Jordan,CLB,GK,2,2,180,16,13,3,1.5,1/2,81.3
Jeff Cassar,DAL,GK,4,4,333,21,13,7,1.75,0/0,61.9
Matt Pickens,CHI,GK,5,3,298,15,10,4,1.33,0/0,66.7
David Mahoney,CHI,GK,3,3,270,11,7,4,1.33,1/1,63.6
Troy Perkins,DC,GK,2,2,180,8,5,2,1.0,1/1,62.5
Doug Warren,NE,GK,2,1,96,7,4,2,2.0,1/1,57.1
Steve Cronin,LA,GK,1,1,90,5,3,2,2.0,0/0,60.0
Dario Sala,DAL,GK,1,1,90,2,2,0,0.0,0/0,100.0
Robby Fulton,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
Josh Saunders,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Andrew Weber,DC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Javier Barragan,CHV,GK,0,0,0,0,0,0,0.0,0/0,0.0
Clint Baumstark,CHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Michael Cardenas,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Bouna Coundoul,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
William Hesmer,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Chris Gomez,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Martin Hutton,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Shaun Kalnasy,CHV,GK,0,0,0,0,0,0,0.0,0/0,0.0
Noah Palmer,RSL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Kyle Singer,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Andrew Terris,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
T.J. Tomasso,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Michael Ueltschey,MET,GK,0,0,0,0,0,0,0.0,0/0,0.0
Jon Conway,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
