Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Chris Klein,KC,M,31,31,2765,7,9,84,34,0/0,8.3,40.5
Ronnie O'Brien,DAL,M,28,28,2512,6,12,83,37,0/0,7.2,44.6
Taylor Twellman,NE,F,25,25,2226,17,7,82,51,0/0,20.7,62.2
Jaime Moreno,DC,F,29,28,2445,16,7,77,46,9/9,20.8,59.7
Youri Djorkaeff,MET,F-M,24,24,1986,10,7,76,33,2/2,13.2,43.4
Edson Buddle,CLB,F,23,21,1762,9,2,70,24,0/0,12.9,34.3
Dwayne De Rosario,SJ,M,28,26,2375,9,13,70,34,1/1,12.9,48.6
Amado Guevara,MET,M,26,26,2284,11,11,67,31,4/5,16.4,46.3
Jason Kreis,RSL,M,24,24,2160,9,4,65,31,3/3,13.8,47.7
Christian Gomez,DC,M,31,30,2419,11,9,64,37,0/0,17.2,57.8
Davy Arnaud,KC,M,31,28,2525,5,4,64,25,0/0,7.8,39.1
Carlos Ruiz,DAL,F,19,18,1549,11,2,63,30,3/3,17.5,47.6
Guillermo Ramirez,LA,M,24,18,1590,1,1,62,30,1/1,1.6,48.4
Ante Razov,CLB,F,25,21,1935,7,6,62,22,0/0,11.3,35.5
Jovan Kirovski,COL,M-F,31,28,2334,5,5,62,25,2/2,8.1,40.3
Chris Rolfe,CHI,F,29,21,1941,8,5,61,32,0/0,13.1,52.5
Clint Dempsey,SEA,F,26,26,2319,10,9,60,27,0/0,16.7,45.0
Pat Noonan,NE,F,21,21,1843,8,7,57,29,0/0,14.0,50.9
Jeff Cunningham,COL,F,26,17,1667,12,3,55,31,2/3,21.8,56.4
Hérculez Gómez,LA,F,22,16,1506,11,2,54,25,0/0,20.4,46.3
Cornell Glen,CLB,F,22,13,1238,4,4,52,20,1/1,7.7,38.5
Josh Wolff,KC,F,22,22,1910,10,10,51,29,1/2,19.6,56.9
Ronald Cerritos,SJ,F,30,28,2308,6,9,50,29,1/1,12.0,58.0
Ramon Nunez,DAL,M,21,12,1139,5,3,49,22,1/1,10.2,44.9
Landon Donovan,LA,M-F,22,20,1886,12,10,49,32,4/4,24.5,65.3
Alain Nkong,COL,M,28,20,1731,5,4,48,18,0/0,10.4,37.5
Peguero Jean Philippe,COL,F,26,20,1839,7,6,48,20,1/1,14.6,41.7
Justin Mapp,CHI,M,29,28,2356,3,8,48,19,0/0,6.3,39.6
Thiago Martins,CHV,F,22,21,1779,3,1,46,16,1/1,6.5,34.8
Andy Williams,RSL,M,26,26,2102,5,3,46,18,1/1,10.9,39.1
Nate Jaqua,CHI,F,18,15,1361,7,3,45,24,0/0,15.6,53.3
Clint Mathis,RSL,M,27,27,2123,3,4,45,17,0/0,6.7,37.8
Thiago,CHI,M,27,25,2220,6,7,45,20,0/0,13.3,44.4
Sergio Galvan Rey,MET,F,27,16,1596,7,0,44,23,0/0,15.9,52.3
Alejandro Moreno,SJ,F,31,24,2167,8,4,42,20,0/0,19.0,47.6
Dema Kovalenko,DC,M,26,23,2056,4,4,41,13,0/0,9.8,31.7
Mark Chung,COL,M,30,28,2487,7,7,39,20,0/0,17.9,51.3
Freddy Adu,DC,F,25,16,1486,4,6,37,16,0/0,10.8,43.2
Jose Burciaga Jr.,KC,D,31,31,2667,2,4,36,10,0/0,5.6,27.8
Roberto Mina,DAL,F,21,15,1269,7,4,35,13,0/0,20.0,37.1
Sasha Victorine,KC,M,30,30,2658,7,4,35,15,0/0,20.0,42.9
Eddie Gaven,MET,M,28,26,2257,8,4,34,19,0/0,23.5,55.9
Isaac Romo,CHV,F,25,11,1187,3,1,33,15,0/0,9.1,45.5
Chris Henderson,CLB,M,29,29,2428,3,8,33,11,1/2,9.1,33.3
Shalrie Joseph,NE,M,31,31,2788,6,5,32,18,2/2,18.8,56.3
