day,date,home_team,result,away_team
Saturday,April 1,SKC,3-1,Columbus
Saturday,April 8,Houston,1-2,SKC
Saturday,April 15,SKC,1-0,New England
Sunday,April 23,FC Dallas,2-1,SKC
Saturday,April 29,Columbus,0-1,SKC
Saturday,May 6,SKC,1-1,Chicago
Saturday,May 13,D.C. United,2-1,SKC
Saturday,May 20,Real Salt Lake,2-1,SKC
Saturday,May 27,SKC,1-3,D.C. United
Saturday,June 3,SKC,1-1,NY Red Bulls
Saturday,June 10,Columbus,0-1,SKC
Saturday,June 17,SKC,3-2,Chicago
Saturday,June 24,D.C. United,1-0,SKC
Wednesday,June 28,SKC,2-3,D.C. United
Saturday,July 1,SKC,0-2,LA Galaxy
Tuesday,July 4,Chicago,1-0,SKC
Saturday,July 8,Colorado,1-0,SKC
Saturday,July 15,SKC,2-3,Houston
Saturday,July 22,NY Red Bulls,1-0,SKC
Saturday,July 29,SKC,1-1,New England
Wednesday,August 9,New England,0-0,SKC
Saturday,August 12,SKC,4-0,Columbus
Wednesday,August 16,Chicago,3-0,SKC
Saturday,August 19,Chivas USA,1-1,SKC
Sunday,August 27,SKC,1-0,FC Dallas
Wednesday,August 30,SKC,2-2,NY Red Bulls
Saturday,September 2,LA Galaxy,2-1,SKC
Saturday,September 9,SKC,4-1,Colorado
Saturday,September 23,New England,1-1,SKC
Saturday,September 30,SKC,3-3,Real Salt Lake
Saturday,October 7,SKC,2-1,Chivas USA
Saturday,October 14,NY Red Bulls,3-2,SKC
