day,date,home_team,result,away_team
Sunday,April 8,HOU,0-0,LA Galaxy
Saturday,April 14,HOU,1-0,Chivas USA
Saturday,April 21,NY Red Bulls,1-0,HOU
Sunday,April 29,HOU,0-1,Chicago
Saturday,May 5,Colorado,1-3,HOU
Wednesday,May 16,Toronto FC,1-0,HOU
Saturday,May 19,HOU,0-1,New England
Saturday,May 26,D.C. United,2-1,HOU
Sunday,June 3,HOU,2-1,FC Dallas
Thursday,June 7,HOU,2-1,Colorado
Sunday,June 10,Columbus,1-2,HOU
Thursday,June 21,HOU,4-0,Chivas USA
Sunday,June 24,Sporting KC,0-1,HOU
Saturday,June 30,FC Dallas,0-0,HOU
Thursday,July 5,HOU,4-0,NY Red Bulls
Sunday,July 8,HOU,1-0,D.C. United
Thursday,July 12,Chicago,0-4,HOU
Sunday,July 15,HOU,0-0,Toronto FC
Sunday,July 22,New England,3-3,HOU
Saturday,August 4,Real Salt Lake,1-0,HOU
Saturday,August 11,Colorado,1-0,HOU
Sunday,August 19,HOU,1-0,FC Dallas
Saturday,August 25,HOU,1-1,Columbus
Saturday,September 1,HOU,1-1,Sporting KC
Saturday,September 8,HOU,4-3,Real Salt Lake
Sunday,September 16,LA Galaxy,1-3,HOU
Sunday,September 30,FC Dallas,0-3,HOU
Sunday,October 7,HOU,1-2,LA Galaxy
Monday,October 15,Real Salt Lake,0-1,HOU
Saturday,October 20,Chivas USA,0-0,HOU
