Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Steve Ralston,NE,M,26,26,14,2,9,5,0.54
Sacha Kljestan,ORL,M,25,25,13,3,8,5,0.54
Landon Donovan,LA,M-F,25,24,13,3,10,3,0.53
Guillermo Barros Schelotto,CLB,F,22,19,11,1,3,8,0.62
Christian Gomez,DC,M,27,27,9,5,7,2,0.36
Davy Arnaud,KC,M,28,28,9,2,4,5,0.33
Ante Razov,CHV,F,26,24,8,4,5,3,0.35
Fred,DC,M,26,23,8,3,6,2,0.34
Dave van den Bergh,NY,M,29,26,8,1,3,5,0.32
Cuauhtemoc Blanco,CHI,M,14,14,7,2,4,3,0.51
Dax McCarty,CHI,M,25,18,7,2,4,3,0.39
Ben Olsen,DC,M,24,21,7,2,6,1,0.33
Eddie Gaven,CLB,M,27,21,7,1,0,7,0.33
Sasha Victorine,KC,M,29,24,7,2,4,3,0.3
Terry Cooke,COL,M,29,28,7,2,4,3,0.28
Alejandro Moreno,CLB,F,29,27,7,1,4,3,0.27
Jaime Moreno,DC,F,21,15,6,1,5,1,0.38
Eddie Johnson,KC,F,24,24,6,2,3,3,0.25
Khano Smith,NE,M,29,26,6,3,4,2,0.24
Dane Richards,NY,M,28,27,6,3,6,0,0.23
Stuart Holden,HOU,M,22,10,5,2,3,2,0.44
Ramon Nunez,CHV,M,21,12,5,2,1,4,0.36
Carlos Marinelli,KC,M,26,19,5,1,2,3,0.27
Cobi Jones,LA,M,25,19,5,3,4,1,0.27
Peter Vagenas,LA,M,24,20,5,1,5,0,0.25
Maykel Galindo,CHV,F,28,24,5,3,3,2,0.22
Juan Pablo Angel,NY,F,24,24,5,2,3,2,0.21
Shalrie Joseph,NE,M,27,27,5,4,2,3,0.19
Richard Mulrooney,HOU,M,30,27,5,2,2,3,0.18
Corey Ashe,HOU,M,22,6,4,2,4,0,0.44
Ronnie O'Brien,TOR,M,13,13,4,2,3,1,0.32
Abe Thompson,DAL,F,24,15,4,1,1,3,0.29
Duncan Oughton,CLB,D,19,13,4,0,2,2,0.29
Jozy Altidore,TOR,F,22,15,4,2,2,2,0.26
Adam Cristman,NE,F,28,14,4,1,3,1,0.25
Pat Noonan,NE,F,27,21,4,1,3,1,0.21
Brian Carroll,DC,M,28,19,4,1,3,1,0.2
Jose Burciaga Jr.,KC,D,23,23,4,0,3,1,0.2
Dwayne De Rosario,HOU,M,24,22,4,1,3,1,0.18
Carl Robinson,TOR,M,26,26,4,0,4,0,0.15
Joseph Ngwenya,CLB,F,30,30,4,0,3,1,0.15
Michael Harrington,KC,D,29,27,4,1,2,2,0.15
Jesse Marsch,CHV,M,28,28,4,1,2,2,0.15
Jeff Larentowicz,ATL,M,28,28,4,1,3,1,0.15
Francisco Mendoza,CHV,M,28,27,4,0,2,2,0.15
Chris Klein,LA,M,32,32,4,1,4,0,0.13
Conor Casey,COL,F,17,11,3,1,1,2,0.26
Brad Davis,HOU,M,17,16,3,1,1,2,0.21
Andy Williams,RSL,M,24,12,3,0,1,2,0.21
Andy Welsh,TOR,M,20,16,3,1,3,0,0.2
Marc Burch,MIN,D,18,15,3,1,1,2,0.2
Chris Rolfe,CHI,F,19,18,3,1,2,1,0.19
Chris Pozniak,TOR,D,22,16,3,0,0,3,0.18
Clyde Simms,DC,M,25,16,3,2,1,2,0.18
Pablo Ricchetti,DAL,D-M,19,19,3,1,3,0,0.17
Ricardo Clark,CLB,M,19,18,3,3,1,2,0.17
Alex Zotinca,CHV,D,22,20,3,1,2,1,0.16
Claudio Reyna,NY,M,21,21,3,1,1,2,0.16
Arturo Alvarez,HOU,M,27,21,3,1,1,2,0.14
Alecko Eskandarian,RSL,F,23,23,3,2,2,1,0.14
Marvell Wynne,NY,D,23,22,3,0,2,1,0.14
Ned Grabavoy,CLB,M,26,24,3,1,1,2,0.13
Frankie Hejduk,CLB,D,24,24,3,1,2,1,0.13
Taylor Twellman,NE,F,26,25,3,1,2,1,0.12
Jack Jewsbury,KC,M,28,27,3,0,0,3,0.12
Brian Mullan,HOU,D,28,28,3,1,3,0,0.11
Kyle Beckerman,RSL,M,28,27,3,2,2,1,0.11
David Beckham,LA,M,5,2,2,0,0,2,0.71
Javier Morales,RSL,M,7,5,2,0,1,1,0.49
Ryan Raybould,KC,D-M,10,4,2,1,1,1,0.42
Nicholas Addlery,DC,F,11,4,2,1,1,1,0.4
Fabian Espindola,RSL,F,12,8,2,0,1,1,0.3
Guy-Roland Kpene,DC,F,15,8,2,0,1,1,0.29
