day,date,home_team,result,away_team
Saturday,March 29,Real Salt Lake,1-1,CHI
Thursday,April 3,CHI,4-0,New England
Saturday,April 12,San Jose,0-1,CHI
Sunday,April 20,CHI,0-1,Sporting KC
Saturday,April 26,CHI,2-1,Colorado
Saturday,May 3,New England,0-3,CHI
Thursday,May 8,D.C. United,0-2,CHI
Saturday,May 17,CHI,1-2,Houston
Sunday,May 25,NY Red Bulls,1-5,CHI
Saturday,June 7,CHI,1-2,D.C. United
Sunday,June 15,FC Dallas,1-0,CHI
Thursday,June 19,Chivas USA,2-0,CHI
Saturday,June 28,CHI,0-0,San Jose
Saturday,July 5,Columbus,2-2,CHI
Saturday,July 12,CHI,2-1,Toronto FC
Saturday,July 19,CHI,0-0,Real Salt Lake
Sunday,July 27,Sporting KC,0-0,CHI
Saturday,August 2,CHI,1-0,Chivas USA
Saturday,August 9,New England,1-2,CHI
Saturday,August 16,CHI,0-1,D.C. United
Thursday,August 21,LA Galaxy,0-1,CHI
Sunday,August 31,Houston,2-1,CHI
Saturday,September 6,CHI,1-0,NY Red Bulls
Sunday,September 14,Colorado,2-0,CHI
Sunday,September 21,CHI,1-4,FC Dallas
Thursday,September 25,CHI,3-1,LA Galaxy
Sunday,October 5,Sporting KC,1-1,CHI
Sunday,October 12,CHI,2-2,Columbus
Saturday,October 18,Toronto FC,3-2,CHI
Thursday,October 23,CHI,5-2,NY Red Bulls
