day,date,home_team,result,away_team
Sunday,March 30,FC Dallas,1-1,CHV
Saturday,April 5,CHV,3-1,Real Salt Lake
Saturday,April 12,Columbus,4-3,CHV
Sunday,April 20,CHV,0-2,FC Dallas
Saturday,April 26,LA Galaxy,5-2,CHV
Saturday,May 3,Houston,0-0,CHV
Sunday,May 11,CHV,1-2,New England
Saturday,May 17,CHV,3-1,D.C. United
Saturday,May 24,Colorado,1-2,CHV
Saturday,May 31,CHV,2-0,Columbus
Thursday,June 5,NY Red Bulls,1-0,CHV
Saturday,June 14,CHV,0-1,Real Salt Lake
Thursday,June 19,CHV,2-0,Chicago
Saturday,June 28,CHV,1-1,NY Red Bulls
Saturday,July 5,CHV,1-0,San Jose
Thursday,July 10,LA Galaxy,1-1,CHV
Saturday,August 2,Chicago,1-0,CHV
Saturday,August 9,Sporting KC,3-2,CHV
Thursday,August 14,CHV,2-2,LA Galaxy
Wednesday,August 20,Houston,4-0,CHV
Saturday,August 23,CHV,0-0,San Jose
Saturday,August 30,CHV,2-1,Toronto FC
Saturday,September 6,Toronto FC,1-3,CHV
Thursday,September 11,New England,4-0,CHV
Saturday,September 20,Real Salt Lake,0-1,CHV
Saturday,September 27,CHV,2-1,Sporting KC
Saturday,October 4,D.C. United,0-3,CHV
Saturday,October 11,San Jose,0-1,CHV
Sunday,October 19,CHV,1-2,Colorado
Saturday,October 25,CHV,1-1,Houston
