day,date,home_team,result,away_team
Saturday,March 21,CHV,2-1,Colorado
Sunday,March 29,FC Dallas,0-2,CHV
Sunday,April 5,CHV,2-1,Columbus
Saturday,April 11,LA Galaxy,0-0,CHV
Saturday,April 18,Seattle,2-0,CHV
Wednesday,April 22,Toronto FC,1-0,CHV
Saturday,April 25,CHV,2-0,FC Dallas
Saturday,May 2,San Jose,0-1,CHV
Saturday,May 9,CHV,1-0,Real Salt Lake
Saturday,May 16,CHV,2-2,D.C. United
Saturday,May 23,Sporting KC,1-1,CHV
Thursday,May 28,CHV,2-3,Chicago
Saturday,June 6,Seattle,1-0,CHV
Wednesday,June 10,Houston,1-0,CHV
Sunday,June 14,Columbus,2-1,CHV
Saturday,July 11,CHV,0-1,LA Galaxy
Sunday,July 19,New England,2-0,CHV
Saturday,August 8,Colorado,4-0,CHV
Saturday,August 15,NY Red Bulls,0-2,CHV
Saturday,August 22,CHV,2-0,Toronto FC
Wednesday,August 26,Real Salt Lake,4-0,CHV
Saturday,August 29,LA Galaxy,1-0,CHV
Sunday,September 13,CHV,2-0,New England
Saturday,September 19,Seattle,0-0,CHV
Saturday,September 26,CHV,1-1,NY Red Bulls
Saturday,October 3,D.C. United,0-2,CHV
Saturday,October 10,CHV,2-0,Sporting KC
Saturday,October 17,CHV,2-2,San Jose
Thursday,October 22,Chicago,1-0,CHV
Sunday,October 25,CHV,2-3,Houston
