day,date,home_team,result,away_team
Sunday,March 22,LA,2-2,D.C. United
Saturday,April 4,LA,2-3,Colorado
Saturday,April 11,LA,0-0,Chivas USA
Saturday,April 18,San Jose,1-1,LA
Saturday,April 25,Colorado,1-1,LA
Saturday,May 2,LA,1-0,NY Red Bulls
Wednesday,May 6,Real Salt Lake,2-2,LA
Sunday,May 10,Seattle,1-1,LA
Sunday,May 17,LA,1-1,Columbus
Saturday,May 23,FC Dallas,1-1,LA
Saturday,May 30,LA,1-1,Sporting KC
Saturday,June 6,Toronto FC,1-2,LA
Saturday,June 13,LA,0-2,Real Salt Lake
Saturday,June 20,San Jose,2-1,LA
Sunday,June 28,LA,1-0,Houston
Saturday,July 4,LA,1-0,New England
Saturday,July 11,Chivas USA,0-1,LA
Thursday,July 16,NY Red Bulls,1-3,LA
Saturday,July 25,Sporting KC,1-1,LA
Saturday,August 8,New England,1-2,LA
Saturday,August 15,Seattle,0-2,LA
Wednesday,August 19,Chicago,0-2,LA
Saturday,August 22,D.C. United,0-0,LA
Saturday,August 29,LA,1-0,Chivas USA
Saturday,September 12,LA,3-6,FC Dallas
Saturday,September 19,LA,2-0,Toronto FC
Saturday,September 26,Columbus,2-0,LA
Friday,October 2,LA,1-0,Chicago
Sunday,October 18,Houston,0-0,LA
Saturday,October 24,LA,2-0,San Jose
