day,date,home_team,result,away_team
Saturday,March 27,Columbus,2-0,TOR
Saturday,April 10,New England,4-1,TOR
Thursday,April 15,TOR,2-1,Philadelphia
Sunday,April 18,Colorado,3-1,TOR
Sunday,April 25,Seattle,2-0,TOR
Saturday,May 1,Real Salt Lake,2-1,TOR
Saturday,May 8,TOR,4-1,Chicago
Saturday,May 15,LA Galaxy,0-0,TOR
Saturday,May 22,TOR,1-0,New England
Saturday,May 29,San Jose,1-3,TOR
Saturday,June 5,TOR,0-0,Sporting KC
Saturday,June 26,TOR,0-0,LA Galaxy
Thursday,July 1,TOR,1-1,Houston
Saturday,July 10,TOR,1-0,Colorado
Saturday,July 17,Philadelphia,2-1,TOR
Saturday,July 24,TOR,1-1,FC Dallas
Saturday,July 31,Sporting KC,1-0,TOR
Saturday,August 7,TOR,2-1,Chivas USA
Wednesday,August 11,NY Red Bulls,1-0,TOR
Saturday,August 21,TOR,1-4,NY Red Bulls
Saturday,August 28,TOR,0-0,Real Salt Lake
Saturday,September 4,FC Dallas,1-0,TOR
Wednesday,September 8,Chicago,0-0,TOR
Saturday,September 11,TOR,0-1,D.C. United
Saturday,September 18,Houston,1-2,TOR
Saturday,September 25,TOR,2-3,San Jose
Saturday,October 2,Seattle,3-2,TOR
Saturday,October 9,Chivas USA,3-0,TOR
Saturday,October 16,TOR,2-2,Columbus
Saturday,October 23,D.C. United,2-3,TOR
