day,date,home_team,result,away_team
Saturday,March 19,Colorado,3-1,POR
Saturday,March 26,Toronto FC,2-0,POR
Saturday,April 2,New England,1-1,POR
Thursday,April 14,POR,4-2,Chicago
Sunday,April 17,POR,3-2,FC Dallas
Saturday,April 23,LA Galaxy,3-0,POR
Saturday,April 30,POR,1-0,Real Salt Lake
Friday,May 6,POR,1-0,Philadelphia
Saturday,May 14,Seattle,1-1,POR
Saturday,May 21,POR,1-0,Columbus
Sunday,May 29,POR,2-3,D.C. United
Saturday,June 4,Chivas USA,1-0,POR
Saturday,June 11,POR,0-1,Colorado
Sunday,June 19,POR,3-3,NY Red Bulls
Saturday,June 25,FC Dallas,4-0,POR
Saturday,July 2,POR,1-2,Sporting KC
Sunday,July 10,Seattle,2-3,POR
Saturday,July 16,Chicago,0-1,POR
Saturday,July 23,Columbus,1-0,POR
Saturday,July 30,POR,2-2,Toronto FC
Wednesday,August 3,POR,3-0,LA Galaxy
Saturday,August 6,San Jose,1-1,POR
Sunday,August 14,Houston,2-1,POR
Wednesday,August 17,Sporting KC,3-1,POR
Saturday,August 20,POR,2-1,Vancouver
Wednesday,August 24,POR,1-0,Chivas USA
Saturday,September 10,Philadelphia,0-0,POR
Friday,September 16,POR,3-0,New England
Wednesday,September 21,POR,1-1,San Jose
Saturday,September 24,NY Red Bulls,2-0,POR
Sunday,October 2,Vancouver,0-1,POR
Friday,October 14,POR,0-2,Houston
Wednesday,October 19,D.C. United,1-1,POR
Saturday,October 22,Real Salt Lake,1-1,POR
