day,date,home_team,result,away_team
Tuesday,March 15,SEA,0-1,LA Galaxy
Saturday,March 19,NY Red Bulls,1-0,SEA
Friday,March 25,SEA,1-1,Houston
Saturday,April 2,San Jose,2-2,SEA
Saturday,April 9,SEA,2-1,Chicago
Saturday,April 16,Philadelphia,1-1,SEA
Friday,April 22,Colorado,0-1,SEA
Saturday,April 30,SEA,3-0,Toronto FC
Wednesday,May 4,D.C. United,2-1,SEA
Saturday,May 7,Columbus,1-1,SEA
Saturday,May 14,SEA,1-1,Portland
Saturday,May 21,SEA,1-0,Sporting KC
Wednesday,May 25,SEA,0-1,FC Dallas
Saturday,May 28,Real Salt Lake,1-2,SEA
Saturday,June 4,Chicago,0-0,SEA
Saturday,June 11,SEA,2-2,Vancouver
Saturday,June 18,Toronto FC,0-1,SEA
Thursday,June 23,SEA,4-2,NY Red Bulls
Sunday,June 26,SEA,2-1,New England
Monday,July 4,LA Galaxy,0-0,SEA
Sunday,July 10,Portland,2-3,SEA
Saturday,July 16,SEA,4-3,Colorado
Saturday,July 30,Houston,3-1,SEA
Saturday,August 6,Sporting KC,1-2,SEA
Saturday,August 13,SEA,0-0,Chivas USA
Saturday,August 20,FC Dallas,0-1,SEA
Saturday,August 27,SEA,6-2,Columbus
Saturday,September 10,SEA,1-2,Real Salt Lake
Saturday,September 17,SEA,3-0,D.C. United
Saturday,September 24,Vancouver,1-3,SEA
Saturday,October 1,New England,1-2,SEA
Saturday,October 8,SEA,0-2,Philadelphia
Saturday,October 15,SEA,2-1,San Jose
Saturday,October 22,Chivas USA,1-3,SEA
