day,date,home_team,result,away_team
Saturday,March 19,SJ,0-1,Real Salt Lake
Saturday,March 26,FC Dallas,0-2,SJ
Saturday,April 2,Seattle,2-2,SJ
Saturday,April 9,SJ,1-1,Toronto FC
Saturday,April 16,NY Red Bulls,3-0,SJ
Saturday,April 23,SJ,1-2,Chivas USA
Saturday,April 30,Philadelphia,1-0,SJ
Wednesday,May 11,Vancouver,1-1,SJ
Saturday,May 14,SJ,3-0,Columbus
Saturday,May 21,SJ,2-1,New England
Saturday,May 28,Chicago,2-2,SJ
Saturday,June 4,SJ,2-0,Houston
Saturday,June 11,D.C. United,2-4,SJ
Friday,June 17,Sporting KC,1-0,SJ
Saturday,June 25,SJ,0-0,LA Galaxy
Saturday,July 2,SJ,2-2,NY Red Bulls
Wednesday,July 6,Chivas USA,2-0,SJ
Saturday,July 9,SJ,0-0,Philadelphia
Saturday,July 16,Columbus,0-0,SJ
Wednesday,July 20,SJ,2-2,Vancouver
Saturday,July 23,Real Salt Lake,4-0,SJ
Saturday,July 30,SJ,0-2,D.C. United
Saturday,August 6,SJ,1-1,Portland
Saturday,August 13,SJ,1-2,Colorado
Saturday,August 20,LA Galaxy,2-0,SJ
Saturday,August 27,Toronto FC,1-1,SJ
Saturday,September 10,SJ,2-0,Chicago
Saturday,September 17,Houston,2-1,SJ
Wednesday,September 21,Portland,1-1,SJ
Saturday,September 24,Colorado,1-1,SJ
Saturday,October 1,SJ,1-1,Sporting KC
Saturday,October 8,New England,1-2,SJ
Saturday,October 15,Seattle,2-1,SJ
Saturday,October 22,SJ,4-2,FC Dallas
