day,date,home_team,result,away_team
Sunday,March 11,DAL,2-1,NY Red Bulls
Saturday,March 17,DAL,1-1,Portland
Sunday,March 25,Sporting KC,2-1,DAL
Friday,March 30,D.C. United,4-1,DAL
Thursday,April 5,DAL,1-0,New England
Saturday,April 14,DAL,2-1,Montreal
Saturday,April 21,Vancouver,1-0,DAL
Wednesday,April 25,DAL,1-1,Real Salt Lake
Saturday,April 28,LA Galaxy,1-1,DAL
Sunday,May 6,DAL,0-2,Colorado
Wednesday,May 9,Seattle,0-2,DAL
Saturday,May 12,Columbus,2-1,DAL
Saturday,May 19,DAL,1-1,Philadelphia
Wednesday,May 23,Chicago,2-1,DAL
Saturday,May 26,Real Salt Lake,3-2,DAL
Saturday,June 16,Houston,2-1,DAL
Saturday,June 23,DAL,0-0,Chivas USA
Wednesday,July 4,DAL,1-1,Toronto FC
Saturday,July 7,DAL,0-0,San Jose
Saturday,July 14,Colorado,1-2,DAL
Wednesday,July 18,San Jose,2-1,DAL
Saturday,July 21,DAL,5-0,Portland
Saturday,July 28,DAL,0-1,LA Galaxy
Sunday,August 5,Portland,1-1,DAL
Saturday,August 11,DAL,3-2,Colorado
Wednesday,August 15,Vancouver,0-2,DAL
Saturday,August 18,Real Salt Lake,1-2,DAL
Sunday,August 26,LA Galaxy,2-0,DAL
Sunday,September 2,Seattle,1-1,DAL
Saturday,September 15,DAL,1-0,Vancouver
Saturday,September 29,San Jose,3-3,DAL
Sunday,October 7,Chivas USA,1-1,DAL
Sunday,October 21,Seattle,3-1,DAL
Sunday,October 28,DAL,2-2,Chivas USA
