day,date,home_team,result,away_team
Monday,March 12,Portland,3-1,PHI
Sunday,March 18,PHI,1-2,Colorado
Saturday,March 24,Chicago,1-0,PHI
Saturday,March 31,PHI,0-0,Vancouver
Saturday,April 14,PHI,1-0,Columbus
Saturday,April 21,Chivas USA,0-1,PHI
Saturday,April 28,PHI,1-2,San Jose
Saturday,May 5,Seattle,1-0,PHI
Sunday,May 13,PHI,2-3,NY Red Bulls
Saturday,May 19,FC Dallas,1-1,PHI
Saturday,May 26,Toronto FC,1-0,PHI
Saturday,June 16,PHI,0-1,D.C. United
Saturday,June 23,PHI,4-0,Sporting KC
Saturday,June 30,Houston,2-1,PHI
Wednesday,July 4,LA Galaxy,1-2,PHI
Sunday,July 8,PHI,3-0,Toronto FC
Saturday,July 14,PHI,2-1,Montreal
Saturday,July 21,NY Red Bulls,2-0,PHI
Sunday,July 29,PHI,2-1,New England
Saturday,August 4,Montreal,2-0,PHI
Sunday,August 12,PHI,1-3,Chicago
Sunday,August 19,D.C. United,1-1,PHI
Friday,August 24,PHI,0-0,Real Salt Lake
Wednesday,August 29,PHI,1-2,Columbus
Saturday,September 1,New England,0-0,PHI
Saturday,September 15,Toronto FC,1-1,PHI
Thursday,September 20,PHI,0-1,D.C. United
Sunday,September 23,PHI,3-1,Houston
Saturday,September 29,Columbus,3-2,PHI
Wednesday,October 3,Chicago,1-3,PHI
Saturday,October 6,PHI,1-0,New England
Saturday,October 20,Houston,3-1,PHI
Wednesday,October 24,Sporting KC,2-1,PHI
Saturday,October 27,PHI,0-3,NY Red Bulls
