day,date,home_team,result,away_team
Saturday,March 10,LA Galaxy,1-3,RSL
Saturday,March 17,RSL,2-0,NY Red Bulls
Saturday,March 24,RSL,0-1,Chivas USA
Saturday,March 31,Portland,2-3,RSL
Wednesday,April 4,RSL,1-0,Montreal
Saturday,April 7,RSL,2-0,Colorado
Saturday,April 14,Sporting KC,1-0,RSL
Saturday,April 21,San Jose,3-1,RSL
Wednesday,April 25,FC Dallas,1-1,RSL
Saturday,April 28,RSL,3-2,Toronto FC
Saturday,May 5,RSL,2-1,New England
Wednesday,May 9,Chicago,0-0,RSL
Saturday,May 12,Seattle,0-1,RSL
Saturday,May 26,RSL,3-2,FC Dallas
Saturday,June 16,Chivas USA,0-3,RSL
Wednesday,June 20,RSL,2-3,LA Galaxy
Saturday,June 23,RSL,1-2,San Jose
Saturday,June 30,Columbus,2-0,RSL
Wednesday,July 4,Seattle,0-0,RSL
Saturday,July 7,RSL,3-0,Portland
Saturday,July 14,San Jose,5-0,RSL
Saturday,July 21,RSL,2-0,Colorado
Friday,July 27,RSL,2-1,Vancouver
Saturday,August 4,Colorado,1-0,RSL
Saturday,August 11,Vancouver,2-1,RSL
Saturday,August 18,RSL,1-2,FC Dallas
Friday,August 24,Philadelphia,0-0,RSL
Saturday,September 1,RSL,1-0,D.C. United
Thursday,September 6,Houston,1-0,RSL
Saturday,September 22,RSL,2-1,Portland
Saturday,September 29,Chivas USA,0-4,RSL
Saturday,October 6,LA Galaxy,1-2,RSL
Wednesday,October 17,Seattle,0-0,RSL
Saturday,October 27,RSL,0-0,Vancouver
