day,date,home_team,result,away_team
Saturday,March 2,FC Dallas,1-0,COL
Sunday,March 10,COL,1-2,Philadelphia
Saturday,March 16,Real Salt Lake,1-1,COL
Saturday,March 23,LA Galaxy,1-0,COL
Saturday,March 30,COL,2-2,Portland
Saturday,April 6,COL,1-0,Real Salt Lake
Saturday,April 13,Chivas USA,0-1,COL
Saturday,April 20,Seattle,0-1,COL
Sunday,April 28,Houston,1-1,COL
Saturday,May 4,COL,1-0,Toronto FC
Saturday,May 11,Columbus,0-2,COL
Saturday,May 18,San Jose,1-1,COL
Saturday,May 25,COL,2-0,Chivas USA
Saturday,June 1,COL,2-2,FC Dallas
Saturday,June 15,COL,1-2,San Jose
Wednesday,June 19,Chicago,2-1,COL
Sunday,June 23,Portland,3-0,COL
Saturday,June 29,Montreal,3-4,COL
Thursday,July 4,COL,2-0,NY Red Bulls
Sunday,July 7,COL,0-0,D.C. United
Wednesday,July 17,COL,2-1,New England
Saturday,July 20,Seattle,1-1,COL
Saturday,July 27,COL,2-0,LA Galaxy
Saturday,August 3,COL,2-2,Real Salt Lake
Sunday,August 11,Chivas USA,1-1,COL
Saturday,August 17,COL,2-0,Vancouver
Saturday,August 31,Sporting KC,2-1,COL
Saturday,September 7,LA Galaxy,0-1,COL
Saturday,September 14,COL,2-1,FC Dallas
Friday,September 20,Portland,1-0,COL
Saturday,October 5,Seattle,5-1,COL
Wednesday,October 9,San Jose,1-0,COL
Friday,October 18,COL,3-2,Vancouver
Sunday,October 27,Vancouver,3-0,COL
