day,date,home_team,result,away_team
Saturday,March 2,Seattle,0-1,MTL
Saturday,March 9,Portland,1-2,MTL
Saturday,March 16,MTL,2-1,Toronto FC
Saturday,March 23,MTL,1-0,NY Red Bulls
Saturday,March 30,Sporting KC,2-0,MTL
Sunday,April 14,MTL,1-1,Columbus
Saturday,April 27,MTL,2-0,Chicago
Saturday,May 4,San Jose,2-2,MTL
Wednesday,May 8,NY Red Bulls,2-1,MTL
Saturday,May 11,MTL,3-2,Real Salt Lake
Saturday,May 25,MTL,5-3,Philadelphia
Saturday,June 1,Sporting KC,1-2,MTL
Saturday,June 15,Columbus,2-0,MTL
Wednesday,June 19,MTL,2-0,Houston
Saturday,June 29,MTL,3-4,Colorado
Wednesday,July 3,Toronto FC,3-3,MTL
Sunday,July 7,MTL,1-1,Chivas USA
Saturday,July 13,NY Red Bulls,4-0,MTL
Saturday,July 20,MTL,0-0,FC Dallas
Saturday,July 27,MTL,1-0,Sporting KC
Saturday,August 3,D.C. United,3-1,MTL
Saturday,August 10,Chicago,2-1,MTL
Saturday,August 17,MTL,2-1,D.C. United
Saturday,August 24,MTL,5-0,Houston
Saturday,August 31,Philadelphia,0-0,MTL
Sunday,September 8,New England,2-4,MTL
Saturday,September 14,MTL,1-2,Columbus
Saturday,September 21,MTL,0-3,Vancouver
Saturday,September 28,Chicago,2-2,MTL
Friday,October 4,Houston,1-0,MTL
Saturday,October 12,MTL,0-1,New England
Wednesday,October 16,LA Galaxy,1-0,MTL
Saturday,October 19,MTL,2-1,Philadelphia
Saturday,October 26,Toronto FC,1-0,MTL
