day,date,home_team,result,away_team
Saturday,March 2,VAN,1-0,Toronto FC
Saturday,March 9,VAN,2-1,Columbus
Saturday,March 23,Houston,2-1,VAN
Saturday,March 30,Chivas USA,2-1,VAN
Saturday,April 6,San Jose,1-1,VAN
Saturday,April 13,VAN,1-1,Real Salt Lake
Saturday,April 20,FC Dallas,2-0,VAN
Saturday,April 27,VAN,2-2,FC Dallas
Saturday,May 4,Real Salt Lake,2-0,VAN
Saturday,May 11,VAN,3-1,LA Galaxy
Saturday,May 18,VAN,2-2,Portland
Saturday,June 1,NY Red Bulls,1-2,VAN
Saturday,June 8,Seattle,3-2,VAN
Saturday,June 15,VAN,4-3,New England
Wednesday,June 19,VAN,3-1,Chivas USA
Saturday,June 29,D.C. United,0-1,VAN
Wednesday,July 3,Sporting KC,1-1,VAN
Saturday,July 6,Seattle,2-0,VAN
Sunday,July 14,VAN,3-1,Chicago
Saturday,July 20,LA Galaxy,2-1,VAN
Saturday,July 27,VAN,0-1,Philadelphia
Saturday,August 3,Portland,1-1,VAN
Saturday,August 10,VAN,2-0,San Jose
Saturday,August 17,Colorado,2-0,VAN
Saturday,August 24,VAN,0-1,LA Galaxy
Sunday,September 1,VAN,2-2,Chivas USA
Saturday,September 7,FC Dallas,3-1,VAN
Saturday,September 14,San Jose,0-0,VAN
Saturday,September 21,Montreal,0-3,VAN
Saturday,September 28,VAN,0-1,Real Salt Lake
Sunday,October 6,VAN,2-2,Portland
Wednesday,October 9,Seattle,1-4,VAN
Friday,October 18,Colorado,3-2,VAN
Sunday,October 27,VAN,3-0,Colorado
