day,date,home_team,result,away_team
Saturday,March 8,SEA,1-0,Sporting KC
Saturday,March 15,SEA,1-2,Toronto FC
Sunday,March 23,Montreal,0-2,SEA
Saturday,March 29,SEA,1-2,Columbus
Saturday,April 5,Portland,4-4,SEA
Saturday,April 12,FC Dallas,2-3,SEA
Saturday,April 19,Chivas USA,1-2,SEA
Saturday,April 26,SEA,4-1,Colorado
Saturday,May 3,SEA,2-1,Philadelphia
Wednesday,May 7,SEA,2-1,FC Dallas
Sunday,May 11,New England,5-0,SEA
Saturday,May 17,SEA,1-0,San Jose
Saturday,May 24,Vancouver,2-2,SEA
Saturday,May 31,SEA,4-0,Real Salt Lake
Saturday,June 7,Chicago,2-3,SEA
Saturday,June 28,D.C. United,0-1,SEA
Saturday,July 5,Vancouver,1-0,SEA
Sunday,July 13,SEA,2-0,Portland
Monday,July 28,SEA,0-3,LA Galaxy
Saturday,August 2,San Jose,1-0,SEA
Sunday,August 10,SEA,2-0,Houston
Saturday,August 16,Real Salt Lake,2-1,SEA
Wednesday,August 20,SEA,1-1,San Jose
Sunday,August 24,Portland,2-4,SEA
Saturday,August 30,SEA,1-0,Colorado
Wednesday,September 3,Chivas USA,2-4,SEA
Friday,September 12,SEA,3-2,Real Salt Lake
Saturday,September 20,NY Red Bulls,4-1,SEA
Wednesday,September 24,FC Dallas,3-1,SEA
Saturday,September 27,SEA,4-2,Chivas USA
Sunday,October 5,Colorado,1-4,SEA
Friday,October 10,SEA,0-1,Vancouver
Sunday,October 19,LA Galaxy,2-2,SEA
Saturday,October 25,SEA,2-0,LA Galaxy
