day,date,home_team,result,away_team
Saturday,March 15,NY Red Bulls,1-1,COL
Saturday,March 22,COL,2-0,Portland
Saturday,March 29,COL,2-3,Sporting KC
Saturday,April 5,Vancouver,1-2,COL
Saturday,April 12,Toronto FC,0-1,COL
Saturday,April 19,COL,0-0,San Jose
Saturday,April 26,Seattle,4-1,COL
Saturday,May 3,COL,1-0,LA Galaxy
Wednesday,May 7,San Jose,0-0,COL
Sunday,May 11,COL,1-3,Chivas USA
Saturday,May 17,Real Salt Lake,2-1,COL
Saturday,May 24,COL,4-1,Montreal
Sunday,June 1,COL,3-0,Houston
Wednesday,June 4,COL,0-0,Chicago
Saturday,June 7,FC Dallas,3-2,COL
Saturday,June 28,COL,2-0,Vancouver
Friday,July 4,COL,1-1,Columbus
Saturday,July 12,Philadelphia,3-3,COL
Friday,July 18,Portland,2-1,COL
Friday,July 25,COL,3-0,Chivas USA
Wednesday,July 30,New England,3-0,COL
Saturday,August 2,COL,0-1,Real Salt Lake
Saturday,August 9,FC Dallas,3-1,COL
Sunday,August 17,D.C. United,4-2,COL
Wednesday,August 20,COL,3-4,LA Galaxy
Saturday,August 30,Seattle,1-0,COL
Friday,September 5,LA Galaxy,6-0,COL
Saturday,September 13,COL,2-2,Portland
Friday,September 19,Real Salt Lake,5-1,COL
Saturday,September 27,COL,1-1,San Jose
Sunday,October 5,Seattle,1-4,COL
Saturday,October 11,Chivas USA,2-1,COL
Saturday,October 18,COL,0-1,FC Dallas
Saturday,October 25,Vancouver,1-0,COL
