day,date,home_team,result,away_team
Saturday,March 8,Houston,4-0,NE
Saturday,March 15,Philadelphia,1-0,NE
Saturday,March 22,NE,0-0,Vancouver
Saturday,March 29,San Jose,1-2,NE
Saturday,April 5,D.C. United,2-0,NE
Saturday,April 12,NE,2-0,Houston
Saturday,April 19,Chicago,1-1,NE
Saturday,April 26,NE,2-0,Sporting KC
Saturday,May 3,Toronto FC,1-2,NE
Sunday,May 11,Seattle,5-0,NE
Saturday,May 17,Philadelphia,3-5,NE
Saturday,May 24,NE,2-1,D.C. United
Saturday,May 31,Montreal,2-0,NE
Sunday,June 8,NE,0-2,NY Red Bulls
Saturday,June 28,NE,1-3,Philadelphia
Friday,July 4,Real Salt Lake,2-1,NE
Saturday,July 12,NE,0-1,Chicago
Wednesday,July 16,LA Galaxy,5-1,NE
Saturday,July 19,FC Dallas,2-0,NE
Saturday,July 26,NE,1-2,Columbus
Wednesday,July 30,NE,3-0,Colorado
Saturday,August 2,NY Red Bulls,2-1,NE
Saturday,August 16,NE,1-1,Portland
Saturday,August 23,NE,1-0,Chivas USA
Saturday,August 30,Toronto FC,0-3,NE
Wednesday,September 3,NE,3-1,Sporting KC
Sunday,September 7,NE,2-1,Chicago
Saturday,September 13,NE,2-1,Montreal
Saturday,September 20,Columbus,1-0,NE
Friday,September 26,Sporting KC,2-3,NE
Saturday,October 4,NE,2-1,Columbus
Saturday,October 11,Montreal,2-2,NE
Thursday,October 16,Houston,1-2,NE
Saturday,October 25,NE,1-0,Toronto FC
