day,date,home_team,result,away_team
Friday,March 6,LA,2-0,Chicago
Sunday,March 15,Portland,2-2,LA
Saturday,March 21,LA,1-1,Houston
Saturday,March 28,D.C. United,1-0,LA
Saturday,April 4,Vancouver,2-0,LA
Sunday,April 12,Seattle,1-0,LA
Saturday,April 18,LA,2-1,Sporting KC
Sunday,April 26,NY Red Bulls,1-1,LA
Saturday,May 2,LA,1-1,Colorado
Wednesday,May 6,Real Salt Lake,0-0,LA
Saturday,May 9,FC Dallas,2-1,LA
Sunday,May 17,Orlando,4-0,LA
Friday,May 22,LA,1-0,Houston
Wednesday,May 27,LA,1-0,Real Salt Lake
Sunday,May 31,New England,2-2,LA
Saturday,June 6,LA,0-1,Vancouver
Saturday,June 13,Columbus,1-1,LA
Saturday,June 20,LA,5-1,Philadelphia
Wednesday,June 24,LA,5-0,Portland
Saturday,June 27,San Jose,3-1,LA
Saturday,July 4,LA,4-0,Toronto FC
Friday,July 17,LA,5-2,San Jose
Saturday,July 25,Houston,3-0,LA
Saturday,August 1,Colorado,1-3,LA
Sunday,August 9,Seattle,3-1,LA
Saturday,August 15,FC Dallas,1-2,LA
Sunday,August 23,LA,5-1,NYCFC
Friday,August 28,San Jose,1-0,LA
Saturday,September 12,LA,0-0,Montreal
Saturday,September 19,Real Salt Lake,3-0,LA
Sunday,September 27,LA,3-2,FC Dallas
Sunday,October 4,Seattle,1-1,LA
Sunday,October 18,LA,2-5,Portland
Sunday,October 25,Sporting KC,2-1,LA
