day,date,home_team,result,away_team
Sunday,March 8,Orlando,1-1,NYC
Sunday,March 15,NYC,2-0,New England
Saturday,March 21,Colorado,0-0,NYC
Saturday,March 28,NYC,0-1,Sporting KC
Saturday,April 11,Philadelphia,2-1,NYC
Thursday,April 16,NYC,1-1,Philadelphia
Sunday,April 19,NYC,0-1,Portland
Friday,April 24,Chicago,1-0,NYC
Sunday,May 3,Seattle,1-3,NYC
Sunday,May 10,NY Red Bulls,2-1,NYC
Friday,May 15,NYC,2-2,Chicago
Saturday,May 23,Real Salt Lake,2-0,NYC
Saturday,May 30,NYC,1-1,Houston
Saturday,June 6,Philadelphia,1-2,NYC
Saturday,June 13,NYC,3-1,Montreal
Saturday,June 20,Toronto FC,0-2,NYC
Sunday,June 28,NYC,1-3,NY Red Bulls
Saturday,July 4,Montreal,1-2,NYC
Sunday,July 12,NYC,4-4,Toronto FC
Saturday,July 18,New England,1-0,NYC
Sunday,July 26,NYC,5-3,Orlando
Saturday,August 1,NYC,2-3,Montreal
Sunday,August 9,NY Red Bulls,2-0,NYC
Thursday,August 13,NYC,3-1,D.C. United
Wednesday,August 19,Columbus,2-2,NYC
Sunday,August 23,LA Galaxy,5-1,NYC
Saturday,August 29,NYC,1-2,Columbus
Saturday,September 12,FC Dallas,2-1,NYC
Wednesday,September 16,NYC,2-0,Toronto FC
Saturday,September 19,NYC,3-2,San Jose
Saturday,September 26,Vancouver,1-2,NYC
Friday,October 2,D.C. United,2-1,NYC
Friday,October 16,Orlando,2-1,NYC
Sunday,October 25,NYC,1-3,New England
