day,date,home_team,result,away_team
Sunday,March 8,ORL,1-1,NYCFC
Friday,March 13,Houston,0-1,ORL
Saturday,March 21,ORL,0-1,Vancouver
Saturday,March 28,Montreal,2-2,ORL
Friday,April 3,ORL,0-1,D.C. United
Sunday,April 12,Portland,0-2,ORL
Saturday,April 18,Columbus,3-0,ORL
Sunday,April 26,ORL,0-2,Toronto FC
Friday,May 8,ORL,2-2,New England
Wednesday,May 13,D.C. United,2-1,ORL
Sunday,May 17,ORL,4-0,LA Galaxy
Sunday,May 24,San Jose,1-1,ORL
Saturday,May 30,ORL,2-2,Columbus
Saturday,June 6,Chicago,2-3,ORL
Sunday,June 14,ORL,1-0,D.C. United
Saturday,June 20,Montreal,2-0,ORL
Wednesday,June 24,ORL,2-0,Colorado
Saturday,July 4,Real Salt Lake,1-1,ORL
Saturday,July 11,ORL,0-2,FC Dallas
Saturday,July 18,ORL,0-2,NY Red Bulls
Sunday,July 26,NYCFC,5-3,ORL
Saturday,August 1,ORL,5-2,Columbus
Wednesday,August 5,Toronto FC,4-1,ORL
Saturday,August 8,ORL,0-0,Philadelphia
Sunday,August 16,Seattle,4-0,ORL
Saturday,August 22,Toronto FC,5-0,ORL
Saturday,August 29,ORL,1-1,Chicago
Saturday,September 5,New England,3-0,ORL
Sunday,September 13,ORL,3-1,Sporting KC
Saturday,September 19,Chicago,0-1,ORL
Friday,September 25,NY Red Bulls,2-5,ORL
Saturday,October 3,ORL,2-1,Montreal
Friday,October 16,ORL,2-1,NYCFC
Sunday,October 25,Philadelphia,1-0,ORL
