day,date,home_team,result,away_team
Saturday,March 7,POR,0-0,Real Salt Lake
Sunday,March 15,POR,2-2,LA Galaxy
Saturday,March 21,Sporting KC,0-0,POR
Saturday,March 28,Vancouver,2-1,POR
Saturday,April 4,POR,3-1,FC Dallas
Sunday,April 12,POR,0-2,Orlando
Sunday,April 19,NYCFC,0-1,POR
Sunday,April 26,Seattle,1-0,POR
Saturday,May 2,POR,0-0,Vancouver
Saturday,May 9,Montreal,1-2,POR
Saturday,May 16,Houston,3-1,POR
Saturday,May 23,Toronto FC,1-0,POR
Wednesday,May 27,POR,1-0,D.C. United
Saturday,May 30,Colorado,1-2,POR
Saturday,June 6,POR,2-0,New England
Saturday,June 20,POR,2-0,Houston
Wednesday,June 24,LA Galaxy,5-0,POR
Sunday,June 28,Seattle,4-1,POR
Sunday,July 5,POR,1-0,San Jose
Saturday,July 11,Philadelphia,3-0,POR
Saturday,July 18,POR,1-1,Vancouver
Saturday,July 25,FC Dallas,4-1,POR
Sunday,August 2,San Jose,0-0,POR
Friday,August 7,POR,1-0,Chicago
Saturday,August 15,Real Salt Lake,0-1,POR
Friday,August 21,POR,2-2,Houston
Sunday,August 30,Seattle,2-1,POR
Wednesday,September 9,POR,0-0,Sporting KC
Sunday,September 20,POR,0-2,NY Red Bulls
Saturday,September 26,Columbus,1-2,POR
Saturday,October 3,POR,0-1,Sporting KC
Wednesday,October 14,Real Salt Lake,0-1,POR
Sunday,October 18,LA Galaxy,2-5,POR
Sunday,October 25,POR,4-1,Colorado
