day,date,home_team,result,away_team
Saturday,March 7,VAN,1-3,Toronto FC
Saturday,March 14,Chicago,0-1,VAN
Saturday,March 21,Orlando,0-1,VAN
Saturday,March 28,VAN,2-1,Portland
Saturday,April 4,VAN,2-0,LA Galaxy
Wednesday,April 8,VAN,2-2,Columbus
Saturday,April 11,San Jose,1-0,VAN
Saturday,April 18,Real Salt Lake,0-1,VAN
Saturday,April 25,VAN,1-2,D.C. United
Saturday,May 2,Portland,0-0,VAN
Saturday,May 9,VAN,3-0,Philadelphia
Saturday,May 16,Seattle,0-2,VAN
Saturday,May 23,Colorado,1-0,VAN
Saturday,May 30,VAN,2-1,Real Salt Lake
Wednesday,June 3,Montreal,2-1,VAN
Saturday,June 6,LA Galaxy,0-1,VAN
Saturday,June 20,NY Red Bulls,1-2,VAN
Saturday,June 27,New England,1-2,VAN
Saturday,July 4,Colorado,2-1,VAN
Sunday,July 12,VAN,0-1,Sporting KC
Saturday,July 18,Portland,1-1,VAN
Sunday,July 26,VAN,3-1,San Jose
Saturday,August 1,Seattle,0-3,VAN
Saturday,August 8,VAN,4-0,Real Salt Lake
Saturday,August 15,Sporting KC,4-3,VAN
Saturday,August 22,VAN,1-0,FC Dallas
Saturday,August 29,Houston,2-0,VAN
Wednesday,September 9,VAN,2-0,Colorado
Saturday,September 19,Seattle,0-3,VAN
Saturday,September 26,VAN,1-2,NYCFC
Saturday,October 3,San Jose,1-1,VAN
Wednesday,October 7,VAN,0-0,FC Dallas
Wednesday,October 14,FC Dallas,2-0,VAN
Sunday,October 25,VAN,3-0,Houston
