day,date,home_team,result,away_team
Sunday,March 6,Orlando,2-2,RSL
Saturday,March 12,Seattle,2-1,RSL
Saturday,March 19,Portland,2-2,RSL
Saturday,April 2,Sporting KC,1-2,RSL
Saturday,April 9,RSL,1-0,Colorado
Saturday,April 16,RSL,1-0,Vancouver
Saturday,April 23,LA Galaxy,5-2,RSL
Saturday,April 30,RSL,2-1,Houston
Saturday,May 7,Colorado,1-0,RSL
Sunday,May 15,Houston,1-0,RSL
Saturday,May 21,Sporting KC,1-3,RSL
Saturday,May 28,Columbus,4-3,RSL
Thursday,June 2,NYCFC,2-3,RSL
Saturday,June 18,RSL,2-2,Portland
Wednesday,June 22,RSL,2-1,NY Red Bulls
Saturday,June 25,FC Dallas,2-0,RSL
Friday,July 1,RSL,1-1,D.C. United
Saturday,July 9,RSL,1-1,Montreal
Wednesday,July 13,Vancouver,2-0,RSL
Saturday,July 16,RSL,0-0,New England
Friday,July 22,RSL,1-1,San Jose
Sunday,July 31,Philadelphia,1-2,RSL
Wednesday,August 3,Toronto FC,1-0,RSL
Saturday,August 6,RSL,3-1,Chicago
Sunday,August 14,Seattle,2-1,RSL
Saturday,August 20,RSL,1-0,FC Dallas
Friday,August 26,RSL,2-1,Colorado
Wednesday,September 7,RSL,3-3,LA Galaxy
Saturday,September 10,Portland,1-0,RSL
Saturday,September 17,RSL,0-1,Houston
Saturday,September 24,RSL,0-0,FC Dallas
Saturday,October 1,San Jose,2-1,RSL
Sunday,October 16,RSL,0-0,Sporting KC
Sunday,October 23,Seattle,2-1,RSL
