day,date,home_team,result,away_team
Sunday,March 6,HOU,3-3,New England
Saturday,March 12,HOU,5-0,FC Dallas
Saturday,March 19,NY Red Bulls,4-3,HOU
Saturday,March 26,Vancouver,1-0,HOU
Sunday,April 10,Seattle,1-1,HOU
Friday,April 15,HOU,1-4,LA Galaxy
Saturday,April 23,Columbus,1-0,HOU
Saturday,April 30,Real Salt Lake,2-1,HOU
Saturday,May 7,HOU,2-0,Sporting KC
Wednesday,May 11,San Jose,3-1,HOU
Sunday,May 15,HOU,1-0,Real Salt Lake
Saturday,May 21,Chicago,1-0,HOU
Saturday,May 28,Vancouver,1-1,HOU
Thursday,June 2,FC Dallas,1-1,HOU
Saturday,June 18,HOU,0-0,D.C. United
Sunday,June 26,Portland,3-2,HOU
Saturday,July 2,HOU,1-0,Philadelphia
Friday,July 8,Orlando,0-0,HOU
Friday,July 15,LA Galaxy,1-0,HOU
Saturday,July 23,HOU,0-0,Vancouver
Sunday,July 31,HOU,1-1,San Jose
Saturday,August 6,Montreal,1-0,HOU
Sunday,August 14,HOU,1-1,Toronto FC
Friday,August 19,San Jose,1-2,HOU
Wednesday,August 24,Seattle,1-1,HOU
Saturday,August 27,HOU,1-3,FC Dallas
Friday,September 9,Sporting KC,3-3,HOU
Saturday,September 17,Real Salt Lake,0-1,HOU
Saturday,September 24,HOU,3-1,Portland
Friday,September 30,HOU,0-2,NYCFC
Saturday,October 8,HOU,2-3,Colorado
Wednesday,October 12,Seattle,0-0,HOU
Sunday,October 16,HOU,0-1,LA Galaxy
Sunday,October 23,Colorado,1-1,HOU
