day,date,home_team,result,away_team
Sunday,March 5,Orlando,1-0,NYC
Sunday,March 12,NYC,4-0,D.C. United
Saturday,March 18,NYC,1-1,Montreal
Saturday,April 1,NYC,2-1,San Jose
Saturday,April 8,D.C. United,2-1,NYC
Friday,April 14,Philadelphia,0-2,NYC
Sunday,April 23,NYC,1-2,Orlando
Saturday,April 29,Columbus,2-3,NYC
Sunday,May 7,NYC,3-1,Atlanta
Sunday,May 14,FC Dallas,1-1,NYC
Wednesday,May 17,Real Salt Lake,2-1,NYC
Sunday,May 21,Orlando,0-3,NYC
Sunday,May 28,Atlanta,3-1,NYC
Wednesday,May 31,NYC,2-2,New England
Saturday,June 3,NYC,2-1,Philadelphia
Saturday,June 17,Seattle,2-1,NYC
Saturday,June 24,NY Red Bulls,0-2,NYC
Thursday,June 29,NYC,3-1,Minnesota
Wednesday,July 5,Vancouver,3-2,NYC
Wednesday,July 19,NYC,2-2,Toronto FC
Saturday,July 22,NYC,2-1,Chicago
Sunday,July 30,Toronto FC,4-0,NYC
Sunday,August 6,NYC,3-2,NY Red Bulls
Saturday,August 12,LA Galaxy,0-2,NYC
Sunday,August 20,NYC,2-1,New England
Friday,August 25,NY Red Bulls,1-1,NYC
Wednesday,September 6,NYC,1-0,Sporting KC
Saturday,September 9,NYC,0-1,Portland
Saturday,September 16,Colorado,1-1,NYC
Saturday,September 23,NYC,1-1,Houston
Wednesday,September 27,Montreal,0-1,NYC
Saturday,September 30,Chicago,1-1,NYC
Sunday,October 15,New England,2-1,NYC
Sunday,October 22,NYC,2-2,Columbus
