day,date,home_team,result,away_team
Saturday,March 4,Real Salt Lake,0-0,TOR
Saturday,March 11,Philadelphia,2-2,TOR
Saturday,March 18,Vancouver,0-2,TOR
Friday,March 31,TOR,0-0,Sporting KC
Saturday,April 8,TOR,2-2,Atlanta
Saturday,April 15,Columbus,2-1,TOR
Friday,April 21,TOR,3-1,Chicago
Friday,April 28,TOR,2-0,Houston
Wednesday,May 3,TOR,2-1,Orlando
Saturday,May 6,Seattle,0-1,TOR
Wednesday,May 10,Columbus,1-2,TOR
Saturday,May 13,TOR,3-2,Minnesota
Friday,May 19,NY Red Bulls,1-1,TOR
Friday,May 26,TOR,5-0,Columbus
Saturday,June 3,New England,3-0,TOR
Saturday,June 17,TOR,2-0,D.C. United
Friday,June 23,TOR,2-0,New England
Saturday,July 1,FC Dallas,3-1,TOR
Wednesday,July 5,Orlando,1-3,TOR
Wednesday,July 19,NYCFC,2-2,TOR
Saturday,July 22,TOR,1-1,Colorado
Sunday,July 30,TOR,4-0,NYCFC
Saturday,August 5,D.C. United,1-1,TOR
Saturday,August 12,TOR,4-1,Portland
Saturday,August 19,Chicago,1-3,TOR
Wednesday,August 23,TOR,3-0,Philadelphia
Sunday,August 27,Montreal,1-3,TOR
Saturday,September 9,TOR,4-0,San Jose
Saturday,September 16,LA Galaxy,0-4,TOR
Wednesday,September 20,TOR,3-5,Montreal
Saturday,September 23,New England,2-1,TOR
Saturday,September 30,TOR,4-2,NY Red Bulls
Sunday,October 15,TOR,1-0,Montreal
Sunday,October 22,Atlanta,2-2,TOR
