day,date,home_team,result,away_team
Saturday,March 4,San Jose,1-0,MTL
Saturday,March 11,Seattle,2-2,MTL
Saturday,March 18,NYCFC,1-1,MTL
Saturday,April 1,Chicago,2-2,MTL
Friday,April 7,LA Galaxy,2-0,MTL
Saturday,April 15,MTL,2-1,Atlanta
Saturday,April 22,Philadelphia,3-3,MTL
Saturday,April 29,MTL,1-2,Vancouver
Saturday,May 6,D.C. United,0-1,MTL
Saturday,May 13,MTL,2-3,Columbus
Saturday,May 20,MTL,4-1,Portland
Saturday,June 3,MTL,1-0,NY Red Bulls
Saturday,June 10,Sporting KC,1-1,MTL
Saturday,June 17,Orlando,3-3,MTL
Saturday,June 24,Columbus,4-1,MTL
Saturday,July 1,MTL,2-0,D.C. United
Wednesday,July 5,Houston,3-1,MTL
Wednesday,July 19,MTL,2-1,Philadelphia
Saturday,July 22,MTL,1-2,FC Dallas
Saturday,July 29,NY Red Bulls,4-0,MTL
Saturday,August 5,MTL,2-1,Orlando
Saturday,August 12,Philadelphia,0-3,MTL
Wednesday,August 16,MTL,3-0,Chicago
Saturday,August 19,MTL,3-1,Real Salt Lake
Sunday,August 27,MTL,1-3,Toronto FC
Saturday,September 2,MTL,0-1,Chicago
Saturday,September 9,New England,1-0,MTL
Saturday,September 16,MTL,2-3,Minnesota
Wednesday,September 20,Toronto FC,3-5,MTL
Sunday,September 24,Atlanta,2-0,MTL
Wednesday,September 27,MTL,0-1,NYCFC
Saturday,September 30,Colorado,2-1,MTL
Sunday,October 15,Toronto FC,1-0,MTL
Sunday,October 22,MTL,2-3,New England
