Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Alejandro Bedoya,PHI,M,28,28,2509,2,4,36,10,66,17,9,6,0
Juan David Cabezas,HOU,M,27,26,2231,1,0,20,4,63,16,0,7,0
David Guzman,POR,M,25,24,2028,1,6,42,9,61,37,0,11,0
Anibal Godoy,SJ,M,26,24,2134,2,1,20,4,61,71,2,10,1
Carlos Gruezo,DAL,M,31,30,2613,0,4,22,4,61,25,1,6,1
Sebastian Blanco,POR,M-F,33,32,2783,8,8,86,32,59,41,2,6,1
Felipe,VAN,M,33,33,2961,2,5,37,12,58,87,2,5,0
Diego Chara,POR,M,29,29,2530,1,3,5,2,57,48,0,8,1
Micheal Azira,COL,M,30,28,2569,0,2,13,4,56,25,0,8,0
Alexander Ring,NYC,M,29,29,2604,0,4,22,6,55,34,2,10,0
Carlos Carmona,ATL,M,31,30,2684,2,2,9,2,55,22,1,8,1
Bradley Wright-Phillips,RBNY,F,32,29,2560,17,1,83,36,54,42,39,5,0
Yamil Asad,DC,M-F,32,31,2765,7,13,53,23,53,95,9,7,1
Jozy Altidore,TOR,F,27,25,2194,15,6,68,30,50,49,14,8,0
Dominique Badji,COL,F,33,29,2540,9,6,56,28,50,41,19,5,0
CJ Sapong,PHI,F,33,30,2794,16,5,67,34,50,87,10,3,0
Michael de Leeuw,CHI,F,30,26,2189,3,8,37,13,48,35,7,5,0
Roger Espinoza,SKC,M,30,30,2677,1,3,48,10,48,43,3,9,1
Jared Jeffrey,DC,M,23,19,1617,1,1,13,6,47,9,0,4,0
Dom Dwyer,ORL,F,27,25,2246,9,5,74,36,47,65,21,5,0
Rodney Wallace,NYC,F,26,23,1935,4,6,52,19,46,23,6,6,0
Romain Alessandrini,LA,M,30,27,2441,13,12,95,41,46,70,12,8,0
Leandro Gonzalez Pirez,ATL,D,32,32,2811,1,3,16,6,46,42,1,10,1
Cyle Larin,ORL,F,28,24,2169,12,3,55,32,45,54,11,1,0
Fredy Montero,VAN,F,33,26,2469,13,6,86,35,45,47,15,6,0
Yangel Herrera,NYC,M,18,14,1223,1,2,20,7,44,38,0,7,1
Sunday Stephen,RSL,M,21,18,1493,0,1,2,0,44,10,0,8,0
Fanendo Adi,POR,F,22,22,1885,10,3,66,28,44,41,30,2,1
Oguchi Onyewu,PHI,D,22,22,1929,1,0,14,6,44,17,1,6,0
Tony Tchani,CHI,M,27,26,2121,4,1,21,9,44,15,0,5,2
David Accam,PHI,M,30,24,2177,14,8,66,36,44,47,18,2,0
Luciano Acosta,DC,M-F,31,30,2419,5,5,46,24,44,56,8,4,2
Kevin Molino,MIN,M,30,30,2512,7,9,46,16,44,70,4,5,0
Benjamin Angoua,NE,D,26,26,2311,1,0,11,3,43,17,0,6,0
Donny Toia,ORL,D,30,29,2545,0,3,13,2,43,7,0,4,0
Maximiliano Urruti,DAL,F,32,31,2749,12,5,103,39,43,52,27,1,0
Cristian Higuita,ORL,M,26,18,1554,0,3,14,2,42,62,0,8,0
Osvaldo Alonso,SEA,M,26,24,2073,1,3,24,6,42,41,1,4,0
Scott Caldwell,NE,M,33,26,2195,1,5,11,2,42,42,0,2,0
Juan Agudelo,NE,F,28,20,1821,8,1,36,17,41,28,9,3,0
Jeff Larentowicz,ATL,M,33,30,2602,1,1,15,4,41,31,0,6,0
Carlos Rivas,RBNY,F,30,21,1960,5,5,76,19,40,38,15,3,0
Kyle Beckerman,RSL,M,26,26,2242,4,0,33,13,40,27,0,9,2
Joao Pedro,LA,M,28,26,2306,1,2,28,5,40,25,1,7,0
Ignacio Piatti,MTL,M,28,26,2368,17,6,75,38,40,59,8,3,0
Bradley Diallo,LA,D,18,15,1380,0,0,11,3,39,6,1,7,1
Dairon Asprilla,POR,M-F,27,17,1395,2,4,36,7,39,24,7,1,0
Gershon Koffie,NE,M,23,21,1920,0,0,16,2,39,47,0,3,0
Ricardo Clark,CLB,M,28,26,2252,0,2,23,6,39,14,1,6,0
Hector Villalba,ATL,F,34,34,2762,13,11,86,44,39,18,10,4,0
Marco Donadel,MTL,M,19,18,1424,2,1,19,4,38,7,0,3,1
Marcelo Sarvas,DC,M,25,19,1841,0,1,9,3,38,47,1,8,0
Steve Birnbaum,DC,D,26,25,2249,0,0,24,3,38,15,1,2,0
Antonio Mlinar Delamea,NE,D,29,29,2547,1,1,12,2,38,28,0,6,1
Sacha Kljestan,ORL,M,32,28,2582,2,17,41,11,38,40,5,6,0
Leonardo,HOU,D,30,29,2616,2,1,13,2,38,6,1,3,0
Kendall Waston,VAN,D,25,25,2250,4,1,19,7,37,9,1,7,0
Joao Meira,CHI,D-M,30,27,2412,0,2,6,3,37,18,0,3,0
Jordan Harvey,LAFC,D,28,28,2509,1,1,8,4,37,22,1,3,0
Nicolás Lodeiro,SEA,M,33,33,2965,7,12,67,19,37,110,16,5,1
Wil Trapp,CLB,M,34,34,3035,0,5,8,3,37,41,0,3,0
Alberth Elis,HOU,F,26,18,1645,10,4,71,28,36,37,8,8,0
Alex Muyl,RBNY,M,30,21,1938,3,4,36,14,36,40,8,4,0
Miguel Almiron,ATL,M,30,27,2394,9,14,84,35,36,46,10,4,0
Luke Mulholland,RSL,M,27,22,1949,3,4,44,8,35,31,0,4,0
Atiba Harris,DAL,D,29,21,2020,2,2,10,2,35,23,1,7,0
