date,time_est,day_of_week,home_club,home_initials,home_score,away_club,away_initials,away_score
6-Mar-2015,10:00PM EST,Friday,LA Galaxy,LA,,Chicago,CHI,
7-Mar-2015,3:00PM EST,Saturday,D.C. United,DC,,Montreal,MON,
7-Mar-2015,4:00PM EST,Saturday,Philadelphia,PHI,,Colorado,COL,
7-Mar-2015,6:00PM EST,Saturday,Vancouver,VAN,,Toronto FC,TOR,
7-Mar-2015,8:30PM EST,Saturday,Houston,HOU,,Columbus,CLB,
7-Mar-2015,8:30PM EST,Saturday,FC Dallas,FCD,,San Jose,SJ,
7-Mar-2015,10:30PM EST,Saturday,Portland,POR,,Real Salt Lake,RSL,
8-Mar-2015,5:00PM EDT,Sunday,Orlando,ORL,,New York City,NYC,
8-Mar-2015,7:00PM EDT,Sunday,Sporting KC,SKC,,NY Red Bulls,NYRB,
8-Mar-2015,9:30PM EDT,Sunday,Seattle,SEA,,New England,NE,
13-Mar-2015,7:00PM EDT,Friday,Houston,HOU,,Orlando,ORL,
14-Mar-2015,TBD,Saturday,Seattle,SEA,,San Jose,SJ,
14-Mar-2015,6:00PM EDT,Saturday,Chicago,CHI,,Vancouver,VAN,
14-Mar-2015,7:30PM EDT,Saturday,Columbus,CLB,,Toronto FC,TOR,
14-Mar-2015,8:30PM EDT,Saturday,FC Dallas,FCD,,Sporting KC,SKC,
14-Mar-2015,9:30PM EDT,Saturday,Real Salt Lake,RSL,,Philadelphia,PHI,
15-Mar-2015,5:00PM EDT,Sunday,New York City,NYC,,New England,NE,
15-Mar-2015,7:00PM EDT,Sunday,Portland,POR,,LA Galaxy,LA,
20-Mar-2015,7:00PM EDT,Friday,Philadelphia,PHI,,FC Dallas,FCD,
21-Mar-2015,3:00PM EDT,Saturday,New England,NE,,Montreal,MON,
21-Mar-2015,4:00PM EDT,Saturday,Colorado,COL,,New York City,NYC,
21-Mar-2015,7:30PM EDT,Saturday,Orlando,ORL,,Vancouver,VAN,
21-Mar-2015,8:30PM EDT,Saturday,Sporting KC,SKC,,Portland,POR,
21-Mar-2015,10:30PM EDT,Saturday,LA Galaxy,LA,,Houston,HOU,
22-Mar-2015,5:00PM EDT,Sunday,NY Red Bulls,NYRB,,D.C. United,DC,
22-Mar-2015,7:00PM EDT,Sunday,San Jose,SJ,,Chicago,CHI,
28-Mar-2015,TBD,Saturday,Vancouver,VAN,,Portland,POR,
28-Mar-2015,3:00PM EDT,Saturday,New England,NE,,San Jose,SJ,
28-Mar-2015,4:00PM EDT,Saturday,Montreal,MON,,Orlando,ORL,
28-Mar-2015,TBD,Saturday,New York City,NYC,,Sporting KC,SKC,
28-Mar-2015,7:00PM EDT,Saturday,D.C. United,DC,,LA Galaxy,LA,
28-Mar-2015,7:30PM EDT,Saturday,Columbus,CLB,,NY Red Bulls,NYRB,
28-Mar-2015,8:30PM EDT,Saturday,Houston,HOU,,Colorado,COL,
28-Mar-2015,8:30PM EDT,Saturday,FC Dallas,FCD,,Seattle,SEA,
29-Mar-2015,5:00PM EDT,Sunday,Chicago,CHI,,Philadelphia,PHI,
29-Mar-2015,7:00PM EDT,Sunday,Real Salt Lake,RSL,,Toronto FC,TOR,
3-Apr-2015,7:00PM EDT,Friday,Orlando,ORL,,D.C. United,DC,
4-Apr-2015,TBD,Saturday,Seattle,SEA,,Houston,HOU,
4-Apr-2015,TBD,Saturday,Vancouver,VAN,,LA Galaxy,LA,
4-Apr-2015,3:00PM EDT,Saturday,Chicago,CHI,,Toronto FC,TOR,
4-Apr-2015,7:00PM EDT,Saturday,Colorado,COL,,New England,NE,
4-Apr-2015,7:00PM EDT,Saturday,NY Red Bulls,NYRB,,Montreal,MON,
4-Apr-2015,10:30PM EDT,Saturday,Portland,POR,,FC Dallas,FCD,
5-Apr-2015,5:00PM EDT,Sunday,San Jose,SJ,,Real Salt Lake,RSL,
5-Apr-2015,7:00PM EDT,Sunday,Sporting KC,SKC,,Philadelphia,PHI,
8-Apr-2015,TBD,Wednesday,Vancouver,VAN,,Columbus,CLB,
10-Apr-2015,7:00PM EDT,Friday,FC Dallas,FCD,,Colorado,COL,
11-Apr-2015,TBD,Saturday,Philadelphia,PHI,,New York City,NYC,
11-Apr-2015,3:00PM EDT,Saturday,New England,NE,,Columbus,CLB,
11-Apr-2015,7:00PM EDT,Saturday,D.C. United,DC,,NY Red Bulls,NYRB,
11-Apr-2015,8:30PM EDT,Saturday,Sporting KC,SKC,,Real Salt Lake,RSL,
11-Apr-2015,8:30PM EDT,Saturday,Houston,HOU,,Montreal,MON,
11-Apr-2015,10:30PM EDT,Saturday,San Jose,SJ,,Vancouver,VAN,
12-Apr-2015,5:00PM EDT,Sunday,Portland,POR,,Orlando,ORL,
12-Apr-2015,7:00PM EDT,Sunday,LA Galaxy,LA,,Seattle,SEA,
15-Apr-2015,7:30PM EDT,Wednesday,New England,NE,,Chicago,CHI,
16-Apr-2015,TBD,Thursday,New York City,NYC,,Philadelphia,PHI,
17-Apr-2015,7:00PM EDT,Friday,NY Red Bulls,NYRB,,San Jose,SJ,
18-Apr-2015,TBD,Saturday,Montreal,MON,,Chicago,CHI,
18-Apr-2015,7:00PM EDT,Saturday,D.C. United,DC,,Houston,HOU,
18-Apr-2015,7:30PM EDT,Saturday,Columbus,CLB,,Orlando,ORL,
18-Apr-2015,8:30PM EDT,Saturday,FC Dallas,FCD,,Toronto FC,TOR,
18-Apr-2015,9:00PM EDT,Saturday,Colorado,COL,,Seattle,SEA,
18-Apr-2015,9:30PM EDT,Saturday,Real Salt Lake,RSL,,Vancouver,VAN,
