Player,Team,Goals,Player,Team,Shots on target,Player,Team,Shots off target,Player,Team,Shooting Accuracy (5+ shots),Player,Team,% Goals-to-shots (5+ shots),,Player,Team,Total shots (inc. Blocked),,Player,Team,Hit Woodwork,Player,Team,Penalty goals,Player,Team,Penalties not scored,Player,Team,Headed goals,,Player,Team,Shots without scoring,Player,Team,Passes,,Player,Team,Passes completed,,Player,Team,Passing Accuracy,Player,Team,Touches,Player,Team,Assists,,Player,Team,Chances Created,Player,Team,Crosses,Player,Team,Dribbles,Player,Team,Corners Taken,Player,Team,Tackles,,Player,Team,Clearances,Player,Team,Interceptions,Player,Team,Clearances off line,Player,Team,Clean Sheets,Player,Team,Blocks,Player,Team,Goals conceded,Player,Team,Saves made,Player,Team,Saves-to-shots ratio,Player,Team,Fouls Won,Player,Team,Fouls Conceded,Player,Team,Offsides,Player,Team,Yellow Cards,Player,Team,Red Cards,Player,Team,Subs on,Player,Team,Subs off
Fernando Torres,Spain,3,Cristiano Ronaldo,Portugal,15,Cristiano Ronaldo,Portugal,20,David Silva,Spain,88.90%,Mario Mandzukic,Croatia,60.00%,,Cristiano Ronaldo,Portugal,37,,Cristiano Ronaldo,Portugal,4,Mesut Özil,Germany,1,Giorgios Karagounis,Greece,1,Andriy Shevchenko,Ukraine,2,,Andrés Iniesta,Spain,20,Xavi,Spain,592,,Xavi,Spain,550,,Joris Mathijsen,Netherlands,96.80%,Xavi,Spain,676,Mesut Özil,Germany,3,,Xavi,Spain,25,Ludovic Obraniak,Poland,19,Franck Ribéry,France,38,Xavi,Spain,34,Álvaro Arbeloa,Spain,20,,Leonardo Bonucci,Italy,34,Daniele De Rossi,Italy,22,John Terry,England,1,Iker Casillas,Spain,5,Sean St Ledger,Republic of Ireland,7,Shay Given,Republic of Ireland,9,Joe Hart,England,22,Iker Casillas,Spain,93.80%,Mario Balotelli,Italy,20,Milan Baros,Czech Republic,17,Robbie Keane,Republic of Ireland,7,Sokratis Papastathopoulos,Greece,3,Wojciech Szczesny,Poland,1,Theo Walcott,England,4,Antonio Cassano,Italy,6
Cristiano Ronaldo,Portugal,3,Mario Balotelli,Italy,14,Mario Balotelli,Italy,12,Mats Hummels,Germany,80.00%,Andriy Shevchenko,Ukraine,40.10%,,Mario Balotelli,Italy,25,,Mesut Özil,Germany,1,Dimitris Salpingidis,Greece,1,Mesut Özil,Germany,0,Mario Mandzukic,Croatia,2,,Karim Benzema,France,19,Xabi Alonso,Spain,585,,Xabi Alonso,Spain,517,,Ibrahim Afellay,Netherlands,96.10%,Xabi Alonso,Spain,646,David Silva,Spain,3,,Mesut Özil,Germany,22,Nani,Portugal,19,Andrés Iniesta,Spain,26,Andrea Pirlo,Italy,27,Gerard Piqué,Spain,19,,Kyriakos Papadopoulos,Greece,32,Daniel Agger,Denmark,21,Sean St Ledger,Republic of Ireland,1,Rui Patricio,Portugal,2,Sokratis Papastathopoulos,Greece,7,Gianluigi Buffon,Italy,7,Gianluigi Buffon,Italy,20,Joe Hart,England,88.00%,Andrea Pirlo,Italy,19,Mario Balotelli,Italy,17,Antonio Di Natale,Italy,6,Keith Andrews,Rep. of Ireland,3,Sokratis Papastathopoulos,Greece,1,Nélson Oliveira,Portugal,4,David Silva,Spain,5
Mario Mandzukic,Croatia,3,Andrés Iniesta,Spain,14,Alexander Kerzhakov,Russia,11,Michael Krohn-Dehli,Denmark,80.00%,Michael Krohn-Dehli,Denmark,40.10%,,Andrés Iniesta,Spain,20,,Rafael van der Vaart,Netherlands,1,Xabi Alonso,Spain,1,Rafael van der Vaart,Netherlands,0,Nicklas Bendtner,Denmark,2,,Alexander Kerzhakov,Russia,14,Sergio Busquets,Spain,455,,Sergio Busquets,Spain,420,,Konstantin Zyryanov,Russia,95.20%,Jordi Alba,Spain,576,Andrey Arshavin,Russia,3,,Wesley Sneijder,Netherlands,19,Fábio Coentrão,Portugal,18,Fábio Coentrão,Portugal,22,Samir Nasri,France,22,Mats Hummels,Germany,18,,Marcin Wasilewski,Poland,31,Mats Hummels,Germany,19,Tomas Sivok,Czech Republic,1,Joe Hart,England,2,Richard Dunne,Republic of Ireland,7,Manuel Neuer,Germany,6,Shay Given,Republic of Ireland,17,Stipe Pletikosa,Croatia,81.30%,Álvaro Arbeloa,Spain,18,Álvaro Arbeloa,Spain,16,Fernando Torres,Spain,5,Anatoliy Tymoshchuk,Ukraine,2,Keith Andrews,Republic of Ireland,1,Miroslav Klose,Germany,4,Raul Meireles,Portugal,5
Mario Gomez,Germany,3,Karim Benzema,France,12,Yevhen Konoplyanka,Ukraine,10,Mario Mandzukic,Croatia,80.00%,Nicklas Bendtner,Denmark,40.10%,,Karim Benzema,France,19,,Georgios Tzavellas,Greece,1,Rafael van der Vaart,Netherlands,0,Robin van Persie,Netherlands,0,Sean St Ledger,Republic of Ireland,1,,Yevhen Konoplyanka,Ukraine,13,Andrés Iniesta,Spain,446,,Andrés Iniesta,Spain,398,,Mark van Bommel,Netherlands,94.60%,Andrés Iniesta,Spain,538,Xavi,Spain,2,,Andrea Pirlo,Italy,17,Mesut Özil,Germany,17,Mesut Özil,Germany,20,Mesut Özil,Germany,18,Steven Gerrard,England,18,,Gerard Piqué,Spain,30,Sergio Busquets,Spain,18,Andrea Pirlo,Italy,1,Gianluigi Buffon,Italy,2,John Terry,England,6,Petr Cech,Czech Republic,6,Iker Casillas,Spain,15,Vyacheslav Malafeev,Russia,77.00%,Giorgios Karagounis,Greece,16,Nani,Portugal,13,Dimitris Salpingidis,Greece,5,Anders Svensson,Sweden,2,Mesut Özil,Germany,0,Antonio Di Natale,Italy,4,Danny Welbeck,England,4
Alan Dzagoev,Russia,3,Antonio Cassano,Italy,9,Arjen Robben,Netherlands,9,Jérémy Menez,France,80.00%,Fernando Torres,Spain,37.60%,,Antonio Cassano,Italy,16,,Ola Toivonen,Sweden,1,Robin van Persie,Netherlands,0,Mark van Bommel,Netherlands,0,David Silva,Spain,1,,Xavi,Spain,12,Andrea Pirlo,Italy,423,,Jordi Alba,Spain,375,,Nigel de Jong,Netherlands,94.60%,Andrea Pirlo,Italy,523,Sebastian Larsson,Sweden,2,,Antonio Cassano,Italy,17,Wesley Sneijder,Netherlands,17,Georgios Samaras,Greece,20,João Moutinho,Portugal,18,João Pereira,Portugal,17,,Giorgio Chiellini,Italy,28,Pepe,Portugal,16,Theodor Gebre Selassie,Czech Republic,1,Michalis Sifakis,Greece,1,Joleon Lescott,England,6,Maarten Stekelenburg,Netherlands,5,Andriy Pyatov,Ukraine,13,Andriy Pyatov,Ukraine,76.50%,Robert Lewandowski,Poland,15,João Moutinho,Portugal,11,Miroslav Klose,Germany,5,Sean St Ledger,Republic of Ireland,2,Rafael van der Vaart,Netherlands,0,Christian Wilhelmsson,Sweden,3,Helder Postiga,Portugal,4
Mario Balotelli,Italy,3,Antonio Di Natale,Italy,8,Keith Andrews,Rep. of Ireland,7,Sebastian Larsson,Sweden,80.00%,Alan Dzagoev,Russia,37.60%,,Robin van Persie,Netherlands,15,,Arjen Robben,Netherlands,1,Mark van Bommel,Netherlands,0,Nigel de Jong,Netherlands,0,Wayne Rooney,England,1,,Keith Andrews,Republic of Ireland,12,Bastian Schweinsteiger,Germany,415,,Bastian Schweinsteiger,Germany,373,,Patrice Evra,France,94.30%,Sergio Busquets,Spain,520,Bastian Schweinsteiger,Germany,2,,Andrey Arshavin,Russia,15,James Milner,England,17,Nani,Portugal,18,Wesley Sneijder,Netherlands,17,Sergio Ramos,Spain,16,,Tomas Sivok,Czech Republic,27,Giorgio Chiellini,Italy,16,Mesut Özil,Germany,0,Manuel Neuer,Germany,1,Scott Parker,England,5,Hugo Lloris,France,5,Stipe Pletikosa,Croatia,13,Przemyslaw Tyton,Poland,75.00%,Cristiano Ronaldo,Portugal,14,Bruno Alves,Portugal,11,Hugo Almeida,Portugal,5,Sergio Ramos,Spain,2,Robin van Persie,Netherlands,0,Jonathan Walters,Republic of Ireland,3,Mario Gomez,Germany,4
David Silva,Spain,2,David Silva,Spain,8,Robert Lewandowski,Poland,6,Andrés Iniesta,Spain,75.00%,Francesc Fábregas,Spain,33.40%,,Alexander Kerzhakov,Russia,14,,Marco Reus,Germany,1,Nigel de Jong,Netherlands,0,Konstantin Zyryanov,Russia,0,Cristiano Ronaldo,Portugal,1,,Arjen Robben,Netherlands,11,Jordi Alba,Spain,410,,Andrea Pirlo,Italy,369,,Rafael van der Vaart,Netherlands,93.80%,Álvaro Arbeloa,Spain,473,Andrea Pirlo,Italy,2,,Jaroslav Plasil,Czech Republic,14,Jerome Boateng,Germany,17,Petr Jiracek,Czech Republic,18,Andrey Arshavin,Russia,17,Eugen Polanski,Poland,16,,Pepe,Portugal,27,João Moutinho,Portugal,15,Rafael van der Vaart,Netherlands,0,Hugo Lloris,France,1,Olof Mellberg,Sweden,5,Andreas Isaksson,Sweden,5,Maarten Stekelenburg,Netherlands,12,Gianluigi Buffon,Italy,74.10%,Franck Ribéry,France,14,Miguel Veloso,Portugal,10,Ola Toivonen,Sweden,3,Eugen Polanski,Poland,2,Mark van Bommel,Netherlands,0,Silvestre Varela,Portugal,3,Nani,Portugal,3
Andriy Shevchenko,Ukraine,2,Fernando Torres,Spain,7,Robin Van Persie,Netherlands,6,Mesut Özil,Germany,71.50%,Mario Gomez,Germany,30.10%,,Yevhen Konoplyanka,Ukraine,13,,Jakob Poulsen,Denmark,1,Konstantin Zyryanov,Russia,0,Niki Zimling,Denmark,0,Pepe,Portugal,1,,Claudio Marchisio,Italy,11,Sergio Ramos,Spain,394,,Sergio Ramos,Spain,363,,Yann M'Vila,France,93.80%,Bastian Schweinsteiger,Germany,469,Nani,Portugal,2,,Ludovic Obraniak,Poland,14,Darijo Srna,Croatia,16,Jordi Alba,Spain,18,Steven Gerrard,England,14,Sergio Busquets,Spain,16,,Sergio Ramos,Spain,26,Leonardo Bonucci,Italy,15,Robin van Persie,Netherlands,0,Andreas Isaksson,Sweden,1,Kyriakos Papadopoulos,Greece,5,Stephan Andersen,Denmark,5,Michalis Sifakis,Greece,11,Michalis Sifakis,Greece,73.40%,Andrés Iniesta,Spain,14,Georgios Samaras,Greece,10,David Silva,Spain,3,Thiago Motta,Italy,2,Nigel de Jong,Netherlands,0,Fernando Torres,Spain,3,Thomas Müller,Germany,3
Dimitris Salpingidis,Greece,2,Zlatan Ibrahimovic,Sweden,7,Mario Gomez,Germany,6,Zlatan Ibrahimovic,Sweden,70.00%,Vaclav Pilar,Czech Republic,25.10%,,Xavi,Spain,12,,Pepe,Portugal,1,Niki Zimling,Denmark,0,Yuri Zhirkov,Russia,0,Olof Mellberg,Sweden,1,,Nani,Portugal,9,Daniele De Rossi,Italy,345,,Daniele De Rossi,Italy,294,,Damien Perquis,Poland,93.50%,Sergio Ramos,Spain,462,João Moutinho,Portugal,2,,Samir Nasri,France,14,Jesús Navas,Spain,16,Andrey Arshavin,Russia,17,Jaroslav Plasil,Czech Republic,13,Xabi Alonso,Spain,16,,Vedran Corluka,Croatia,26,John Terry,England,14,Mark van Bommel,Netherlands,0,Petr Cech,Czech Republic,1,Daniele De Rossi,Italy,5,Michalis Sifakis,Greece,4,Rui Patricio,Portugal,10,Rui Patricio,Portugal,71.50%,Sergio Busquets,Spain,14,Mario Mandzukic,Croatia,10,Dennis Rommedahl,Denmark,3,Philippe Mexes,France,2,Konstantin Zyryanov,Russia,0,Rolando,Portugal,3,James Milner,England,3
Vaclav Pilar,Czech Republic,2,Robin van Persie,Netherlands,7,Karim Benzema,France,6,Jakub Blaszczykowski,Poland,66.70%,Xabi Alonso,Spain,25.10%,,Keith Andrews,Republic of Ireland,12,,Nani,Portugal,1,Yuri Zhirkov,Russia,0,Ashley Young,England,0,Robert Lewandowski,Poland,1,,Daniele De Rossi,Italy,9,Mesut Özil,Germany,319,,Philipp Lahm,Germany,291,,Ron Vlaar,Netherlands,93.40%,Daniele De Rossi,Italy,435,Steven Gerrard,England,2,,Franck Ribéry,France,13,Damien Duff,Republic of Ireland,16,Arjen Robben,Netherlands,16,Ludovic Obraniak,Poland,11,Alou Diarra,France,15,,Philippe Mexes,France,25,Andrea Pirlo,Italy,13,Nigel de Jong,Netherlands,0,Stephan Andersen,Denmark,1,Simon Kjaer,Denmark,4,Rui Patricio,Portugal,4,Manuel Neuer,Germany,10,Maarten Stekelenburg,Netherlands,70.60%,Daniele De Rossi,Italy,13,João Pereira,Portugal,10,Helder Postiga,Portugal,3,Jérémy Menez,France,2,Niki Zimling,Denmark,0,Tomas Pekhart,Czech Republic,3,Alexander Kerzhakov,Russia,3
Michael Krohn-Dehli,Denmark,2,Václav Pilař,Czech Republic,7,Antonio Cassano,Italy,6,Fernando Torres,Spain,62.50%,David Silva,Spain,22.30%,,Fernando Torres,Spain,11,,Alexander Kerzhakov,Russia,1,Ashley Young,England,0,Andriy Yarmolenko,Ukraine,0,Joleon Lescott,England,1,,Wesley Sneijder,Netherlands,8,Álvaro Arbeloa,Spain,319,,Mesut Özil,Germany,283,,Xavi,Spain,93.00%,Mesut Özil,Germany,429,Karim Benzema,France,2,,Nani,Portugal,13,Andrey Arshavin,Russia,15,Vaclav Pilar,Czech Republic,16,Toni Kroos,Germany,11,Anatoliy Tymoshchuk,Ukraine,14,,Sergei Ignashevitch,Russia,25,Riccardo Montolivo,Italy,13,Konstantin Zyryanov,Russia,0,Mesut Özil,Germany,0,Konstantinos Katsouranis,Greece,4,Andriy Pyatov,Ukraine,4,Vyacheslav Malafeev,Russia,10,Stephan Andersen,Denmark,66.70%,Jordi Alba,Spain,13,Sergio Ramos,Spain,9,Mario Gomez,Germany,3,Christian Maggio,Italy,2,Yuri Zhirkov,Russia,0,Pedro,Spain,3,Andrés Iniesta,Spain,3
