"Year","Position","Country","ELO Rating","FIFA  Rating","Continent","Host Country","Host Continent","Country Name"
2010,,"FRA",1851,1044,"Europe","RSA","Africa","France"
2010,,"MEX",1872,895,"South America","RSA","Africa","Mexico"
2010,,"URU",1819,899,"South America","RSA","Africa","Uruguay"
2010,,"RSA",1569,392,"Africa","RSA","Africa","South Africa"
2010,,"GRE",1726,964,"Europe","RSA","Africa","Greece"
2010,,"KOR",1766,632,"Asia","RSA","Africa","Korea Republic"
2010,,"NGA",1697,883,"Africa","RSA","Africa","Nigeria"
2010,,"ARG",1899,1076,"South America","RSA","Africa","Argentina"
2010,,"USA",1749,957,"North America","RSA","Africa","USA"
2010,,"SVN",1648,860,"Europe","RSA","Africa","Slovenia"
2010,,"ALG",1531,821,"Africa","RSA","Africa","Algeria"
2010,,"ENG",1975,1068,"Europe","RSA","Africa","England"
2010,,"SRB",1816,947,"Europe","RSA","Africa","Serbia"
2010,,"GER",1926,1082,"Europe","RSA","Africa","Germany"
2010,,"GHA",1679,800,"Africa","RSA","Africa","Ghana"
2010,,"AUS",1776,886,"Oceania","RSA","Africa","Australia"
2010,,"DEN",1755,767,"Europe","RSA","Africa","Denmark"
2010,,"CMR",1690,887,"Africa","RSA","Africa","Cameroon"
2010,,"NED",2014,1231,"Europe","RSA","Africa","Netherlands"
2010,,"JPN",1687,682,"Asia","RSA","Africa","Japan"
2010,,"PAR",1730,820,"South America","RSA","Africa","Paraguay"
2010,,"NZL",1548,410,"Oceania","RSA","Africa","New Zealand"
2010,,"ITA",1922,1611,"Europe","RSA","Africa","Italy"
2010,,"SVK",1628,777,"Europe","RSA","Africa","Slovakia"
2010,,"CIV",1725,856,"Africa","RSA","Africa","Cote d'Ivoire"
2010,,"POR",1844,1249,"Europe","RSA","Africa","Portugal"
2010,,"PRK",1533,285,"Asia","RSA","Africa","Korea DPR"
2010,,"BRA",2085,1611,"South America","RSA","Africa","Brazil"
2010,,"ESP",2080,1565,"Europe","RSA","Africa","Spain"
2010,,"SUI",1732,866,"Europe","RSA","Africa","Switzerland"
2010,,"HON",1720,734,"North America","RSA","Africa","Honduras"
2010,,"CHI",1860,888,"South America","RSA","Africa","Chile"
2006,1,"ITA",,728,"Europe","GER","Europe","Italy"
2006,2,"FRA",,749,"Europe","GER","Europe","France"
2006,3,"GER",,696,"Europe","GER","Europe","Germany"
2006,4,"POR",,750,"Europe","GER","Europe","Portugal"
2006,"QF","ARG",,746,"South America","GER","Europe","Argentina"
2006,"QF","UKR",,609,"Europe","GER","Europe","Ukraine"
2006,"QF","ENG",,741,"Europe","GER","Europe","England"
2006,"QF","BRA",,827,"South America","GER","Europe","Brazil"
2006,"Round of 16","SWE",,709,"Europe","GER","Europe","Sweden"
2006,"Round of 16","MEX",,758,"North America","GER","Europe","Mexico"
2006,"Round of 16","AUS",,612,"Oceania","GER","Europe","Australia"
2006,"Round of 16","SUI",,648,"Europe","GER","Europe","Switzerland"
2006,"Round of 16","ECU",,631,"South America","GER","Europe","Ecuador"
2006,"Round of 16","NED",,768,"Europe","GER","Europe","Netherlands"
2006,"Round of 16","GHA",,600,"Africa","GER","Europe","Ghana"
2006,"Round of 16","ESP",,756,"Europe","GER","Europe","Spain"
2006,"G3","POL",,677,"Europe","GER","Europe","Poland"
2006,"G3","PAR",,653,"South America","GER","Europe","Paraguay"
2006,"G3","CIV",,669,"Africa","GER","Europe","C̫te d'Ivoire"
2006,"G3","ANG",,581,"Africa","GER","Europe","Angola"
2006,"G3","CZE",,772,"Europe","GER","Europe","Czech Republic"
2006,"G3","CRO",,686,"Europe","GER","Europe","Croatia"
2006,"G3","KOR",,677,"Asia","GER","Europe","Korea Republic"
2006,"G3","TUN",,693,"Africa","GER","Europe","Tunisia"
2006,"G4","CRC",,683,"North America","GER","Europe","Costa Rica"
2006,"G4","TRI",,604,"South America","GER","Europe","Trinidad and Tobago"
2006,"G4","SRB and MNE",,610,"Europe","GER","Europe","Serbia and Montenegro"
2006,"G4","IRN",,686,"Asia","GER","Europe","Iran"
2006,"G4","USA",,756,"North America","GER","Europe","USA"
2006,"G4","JPN",,705,"Asia","GER","Europe","Japan"
2006,"G4","TOG",,569,"Africa","GER","Europe","Togo"
2006,"G4","KSA",,651,"Asia","GER","Europe","Saudi Arabia"
2002,1,"BRA",,784,"South America","KOR/JPN","Asia","Brazil"
2002,2,"GER",,695,"Europe","KOR/JPN","Asia","Germany"
2002,3,"TUR",,654,"Europe","KOR/JPN","Asia","Turkey"
2002,4,"KOR",,603,"Asia","KOR/JPN","Asia","Korea Republic"
2002,"QF","USA",,690,"North America","KOR/JPN","Asia","USA"
2002,"QF","ESP",,713,"Europe","KOR/JPN","Asia","Spain"
2002,"QF","ENG",,694,"Europe","KOR/JPN","Asia","England"
2002,"QF","SEN",,599,"Africa","KOR/JPN","Asia","Senegal"
2002,"Round of 16","PAR",,671,"South America","KOR/JPN","Asia","Paraguay"
2002,"Round of 16","MEX",,716,"North America","KOR/JPN","Asia","Mexico"
2002,"Round of 16","IRL",,674,"Europe","KOR/JPN","Asia","Republic of Ireland"
2002,"Round of 16","ITA",,717,"Europe","KOR/JPN","Asia","Italy"
2002,"Round of 16","DEN",,657,"Europe","KOR/JPN","Asia","Denmark"
2002,"Round of 16","BEL",,653,"Europe","KOR/JPN","Asia","Belgium"
2002,"Round of 16","SWE",,665,"Europe","KOR/JPN","Asia","Sweden"
2002,"Round of 16","JPN",,634,"Asia","KOR/JPN","Asia","Japan"
2002,"G3","URU",,652,"South America","KOR/JPN","Asia","Uruguay"
2002,"G3","RSA",,623,"Africa","KOR/JPN","Asia","South Africa"
2002,"G3","CRC",,643,"North America","KOR/JPN","Asia","Costa Rica"
2002,"G3","POR",,726,"Europe","KOR/JPN","Asia","Portugal"
