match_num,group,date,stadium,where,home,home_score,away_score,extra_time_score,away
3,Group 1,16 June,Charmilles Stadium,Geneva,Brazil,5,0,,Mexico
4,Group 1,16 June,Stade Olympique de la Pontaise,Lausanne,Yugoslavia,1,0,,France
10,Group 1,19 June,Stade Olympique de la Pontaise,Lausanne,Brazil,1,1,1-1,Yugoslavia
11,Group 1,19 June,Charmilles Stadium,Geneva,France,3,2,,Mexico
5,Group 2,17 June,Wankdorf Stadium,Bern,West Germany,4,1,,Turkey
8,Group 2,17 June,Hardturm Stadium,Zürich,Hungary,9,0,,South Korea
14,Group 2,20 June,St. Jakob Stadium,Basel,Hungary,8,3,,West Germany
15,Group 2,20 June,Charmilles Stadium,Geneva,Turkey,7,0,,South Korea
25,Group-2 Play-off,23 June,Hardturm Stadium,Zürich,West Germany,7,2,,Turkey
1,Group 3,16 June,Wankdorf Stadium,Bern,Uruguay,2,0,,Czechoslovakia
2,Group 3,16 June,Hardturm Stadium,Zürich,Austria,1,0,,Scotland
9,Group 3,19 June,Hardturm Stadium,Zürich,Austria,5,0,,Czechoslovakia
12,Group 3,19 June,St. Jakob Stadium,Basel,Uruguay,7,0,,Scotland
6,Group 4,17 June,St. Jakob Stadium,Basel,England,3,3,4-4,Belgium
7,Group 4,17 June,Stade Olympique de la Pontaise,Lausanne,Switzerland,2,1,,Italy
13,Group 4,20 June,Wankdorf Stadium,Bern,England,2,0,,Switzerland
16,Group 4,20 June,Cornaredo Stadium,Lugano,Italy,4,1,,Belgium
26,Group-4 Play-off,23 June,St. Jakob Stadium,Basel,Switzerland,4,1,,Italy
