match_num,group,date,stadium,where,home,home_score,away_score,extra_time_score,away
7,Group 1,8 June,Malmö Stadion,Malmö,West Germany,3,1,,Argentina,First
8,Group 1,8 June,Örjans Vall,Halmstad,Northern Ireland,1,0,,Czechoslovakia,First
15,Group 1,11 June,Örjans Vall,Halmstad,Argentina,3,1,,Northern Ireland,First
14,Group 1,11 June,Olympiastadion,Helsingborg,West Germany,2,2,,Czechoslovakia,First
23,Group 1,15 June,Malmö Stadion,Malmö,West Germany,2,2,,Northern Ireland,First
24,Group 1,15 June,Olympiastadion,Helsingborg,Czechoslovakia,6,1,,Argentina,First
35,Group-1 Play-off,17 June,Malmö Stadion,Malmö,Northern Ireland,1,1,2-1,Czechoslovakia,First
3,Group 2,8 June,Idrottsparken,Norrköping,France,7,3,,Paraguay,First
4,Group 2,8 June,Arosvallen,Västerås,Yugoslavia,1,1,,Scotland,First
11,Group 2,11 June,Arosvallen,Västerås,Yugoslavia,3,2,,France,First
10,Group 2,11 June,Idrottsparken,Norrköping,Paraguay,3,2,,Scotland,First
20,Group 2,15 June,Eyravallen,Örebro,France,2,1,,Scotland,First
19,Group 2,15 June,Tunavallen,Eskilstuna,Paraguay,3,3,,Yugoslavia,First
1,Group 3,8 June,Råsunda Stadium,Solna,Sweden,3,0,,Mexico,First
2,Group 3,8 June,Jernvallen,Sandviken,Hungary,1,1,,Wales,First
9,Group 3,11 June,Råsunda Stadium,Solna,Mexico,1,1,,Wales,First
16,Group 3,12 June,Råsunda Stadium,Solna,Sweden,2,1,,Hungary,First
17,Group 3,15 June,Råsunda Stadium,Solna,Sweden,0,0,,Wales,First
18,Group 3,15 June,Jernvallen,Sandviken,Hungary,4,0,,Mexico,First
33,Group-3 Play-off,17 June,Råsunda Stadium,Solna,Wales,2,1,,Hungary,First
6,Group 4,8 June,Rimnersvallen,Uddevalla,Brazil,3,0,,Austria,First
5,Group 4,8 June,Ullevi,Gothenburg,Soviet Union,2,2,,England,First
12,Group 4,11 June,Ullevi,Gothenburg,Brazil,0,0,,England,First
13,Group 4,11 June,Ryavallen,Borås,Soviet Union,2,0,,Austria,First
22,Group 4,15 June,Ryavallen,Borås,England,2,2,,Austria,First
21,Group 4,15 June,Ullevi,Gothenburg,Brazil,2,0,,Soviet Union,First
34,Group-4 Play-off,17 June,Ullevi,Gothenburg,Soviet Union,1,0,,England,First
