match_num,group,date,stadium,where,home,home_score,away_score,away
1,Group 1,30 May,Estadio Carlos Dittborn,Arica,Uruguay,2,1,Colombia,First
5,Group 1,31 May,Estadio Carlos Dittborn,Arica,Soviet Union,2,0,Yugoslavia,First
9,Group 1,2 June,Estadio Carlos Dittborn,Arica,Yugoslavia,3,1,Uruguay,First
13,Group 1,3 June,Estadio Carlos Dittborn,Arica,Soviet Union,4,4,Colombia,First
17,Group 1,6 June,Estadio Carlos Dittborn,Arica,Soviet Union,2,1,Uruguay,First
21,Group 1,7 June,Estadio Carlos Dittborn,Arica,Yugoslavia,5,0,Colombia,First
2,Group 2,30 May,Estadio Nacional,Santiago,Chile,3,1,Switzerland,First
6,Group 2,31 May,Estadio Nacional,Santiago,West Germany,0,0,Italy,First
10,Group 2,2 June,Estadio Nacional,Santiago,Chile,2,0,Italy,First
14,Group 2,3 June,Estadio Nacional,Santiago,West Germany,2,1,Switzerland,First
18,Group 2,6 June,Estadio Nacional,Santiago,West Germany,2,0,Chile,First
22,Group 2,7 June,Estadio Nacional,Santiago,Italy,3,0,Switzerland,First
3,Group 3,30 May,Estadio Sausalito,Viña del Mar,Brazil,2,0,Mexico,First
7,Group 3,31 May,Estadio Sausalito,Viña del Mar,Czechoslovakia,1,0,Spain,First
11,Group 3,2 June,Estadio Sausalito,Viña del Mar,Brazil,0,0,Czechoslovakia,First
15,Group 3,3 June,Estadio Sausalito,Viña del Mar,Spain,1,0,Mexico,First
19,Group 3,6 June,Estadio Sausalito,Viña del Mar,Brazil,2,1,Spain,First
23,Group 3,7 June,Estadio Sausalito,Viña del Mar,Mexico,3,1,Czechoslovakia,First
4,Group 4,30 May,Estadio El Teniente,Rancagua,Argentina,1,0,Bulgaria,First
8,Group 4,31 May,Estadio El Teniente,Rancagua,Hungary,2,1,England,First
12,Group 4,2 June,Estadio El Teniente,Rancagua,England,3,1,Argentina,First
16,Group 4,3 June,Estadio El Teniente,Rancagua,Hungary,6,1,Bulgaria,First
20,Group 4,6 June,Estadio El Teniente,Rancagua,Hungary,0,0,Argentina,First
24,Group 4,7 June,Estadio El Teniente,Rancagua,England,0,0,Bulgaria,First
