match_num,group,date,stadium,where,home,home_score,away_score,away
1,Group 1,31 May,Estadio Azteca,Mexico City,Mexico,0,0,Soviet Union
5,Group 1,3 June,Estadio Azteca,Mexico City,Belgium,3,0,El Salvador
9,Group 1,6 June,Estadio Azteca,Mexico City,Soviet Union,4,1,Belgium
13,Group 1,7 June,Estadio Azteca,Mexico City,Mexico,4,0,El Salvador
17,Group 1,10 June,Estadio Azteca,Mexico City,Soviet Union,2,0,El Salvador
21,Group 1,11 June,Estadio Azteca,Mexico City,Mexico,1,0,Belgium
2,Group 2,2 June,Estadio Cuauhtémoc,Puebla,Uruguay,2,0,Israel
6,Group 2,3 June,Estadio Luis Dosal,Toluca,Italy,1,0,Sweden
10,Group 2,6 June,Estadio Cuauhtémoc,Puebla,Uruguay,0,0,Italy
14,Group 2,7 June,Estadio Luis Dosal,Toluca,Sweden,1,1,Israel
18,Group 2,10 June,Estadio Cuauhtémoc,Puebla,Uruguay,0,1,Sweden
22,Group 2,11 June,Estadio Luis Dosal,Toluca,Israel,0,0,Italy
3,Group 3,2 June,Estadio Jalisco,Guadalajara,Romania,0,1,England
7,Group 3,3 June,Estadio Jalisco,Guadalajara,Czechoslovakia,1,4,Brazil
11,Group 3,6 June,Estadio Jalisco,Guadalajara,Romania,2,1,Czechoslovakia
15,Group 3,7 June,Estadio Jalisco,Guadalajara,England,0,1,Brazil
19,Group 3,10 June,Estadio Jalisco,Guadalajara,Romania,2,3,Brazil
23,Group 3,11 June,Estadio Jalisco,Guadalajara,England,1,0,Czechoslovakia
4,Group 4,2 June,Estadio Nou Camp,León,Peru,3,2,Bulgaria
8,Group 4,3 June,Estadio Nou Camp,León,Morocco,1,2,West Germany
12,Group 4,6 June,Estadio Nou Camp,León,Peru,3,0,Morocco
16,Group 4,7 June,Estadio Nou Camp,León,Bulgaria,2,5,West Germany
20,Group 4,10 June,Estadio Nou Camp,León,Peru,1,3,West Germany
24,Group 4,11 June,Estadio Nou Camp,León,Bulgaria,1,1,Morocco
