match_num,round/group,date,stadium,where,home,penalties,extra_time_score,fulltime_score,away
49,Round of 16,15 June,Jeju World Cup Stadium,Jeju,Germany,,,1-0,Paraguay,1-0
50,Round of 16,15 June,Niigata Stadium,Niigata,Denmark,,,0-3,England,0-3
51,Round of 16,16 June,Ōita Stadium,Ōita,Sweden,,1-2,1-1,Senegal,1-2aet 1-1
52,Round of 16,16 June,Suwon World Cup Stadium,Suwon,Spain,3-2,1-1,1-1,Ireland,3-2pen 1-1aet 1-1
53,Round of 16,17 June,Jeonju World Cup Stadium,Jeonju,Mexico,,,0-2,United States,0-2
54,Round of 16,17 June,Kobe Wing Stadium,Kobe,Brazil,,,2-0,Belgium,2-0
55,Round of 16,18 June,Miyagi Stadium,Miyagi,Japan,,,0-1,Turkey,0-1
56,Round of 16,18 June,Daejeon World Cup Stadium,Daejeon,South Korea,,2-1,1-1,Italy,2-1aet 1-1
57,Quarter-finals,21 June,Shizuoka Stadium,Shizuoka,England,,,1-2,Brazil,1-2
58,Quarter-finals,21 June,Munsu Cup Stadium,Ulsan,Germany,,,1-0,United States,1-0
59,Quarter-finals,22 June,Gwangju World Cup Stadium,Gwangju,Spain,3-5,0-0,0-0,South Korea,3-5pen 0-0aet 0-0
60,Quarter-finals,22 June,Nagai Stadium,Osaka,Senegal,,0-1,0-0,Turkey,0-1aet 0-0
61,Semi-finals,25 June,Seoul World Cup Stadium,Seoul,Germany,,,1-0,South Korea,1-0
62,Semi-finals,26 June,Saitama Stadium,Saitama,Brazil,,,1-0,Turkey,1-0
63,Third place play-off,29 June,Daegu World Cup Stadium,Daegu,South Korea,,,2-3,Turkey,2-3
64,Final,30 June,International Stadium Yokohama,Yokohama,Germany,,,0-2,Brazil,0-2
