Matchday 1,Thu Jun 12
Matchday 2,Fri Jun 13
Matchday 3,Sat Jun 14
Matchday 4,Sun Jun 15
Matchday 5,Mon Jun 16
Matchday 6,Tue Jun 17
Matchday 7,Wed Jun 18
Matchday 8,Thu Jun 19
Matchday 9,Fri Jun 20
Matchday 10,Sat Jun 21
Matchday 11,Sun Jun 22
Matchday 12,Mon Jun 23
Matchday 13,Tue Jun 24
Matchday 14,Wed Jun 25
Matchday 15,Thu Jun 26
Round of 16,Sat Jun 28 - Tue Jul 1
Quarter-finals,Fri Jul 4 - Sat Jul 5
Semi-finals,Tue Jul 8 - Wed Jul 9
Match for third place,Sat Jul 12
Final,Sun Jul 13
