Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E2,08/08/09,Brighton,Walsall,0,1,A,0,1,A,J Singh,7,7,2,2,9,11,10,5,1,3,0,0,1.91,3.4,4,1.8,3.35,3.9,1.8,3.25,4,1.9,3.2,3.4,1.8,3.5,4.5,1.83,3.25,4,1.73,3.4,4,1.8,3.2,4.33,1.83,3.3,4,1.8,3.25,4.33,29,1.98,1.84,3.5,3.33,4.5,4.05,23,2.05,1.95,1.86,1.8,17,0,1.4,1.35,3.05,2.93
E2,08/08/09,Bristol Rvs,Leyton Orient,1,2,A,1,1,D,G Salisbury,10,6,6,3,10,11,3,3,1,3,0,0,1.91,3.4,4,1.9,3.3,3.6,1.9,3.25,3.75,1.9,3.2,3.4,2,3.5,3.6,1.91,3.3,3.6,1.95,3.25,3.3,1.91,3.25,3.75,2,3.25,3.5,1.91,3.3,3.8,30,2.07,1.94,3.5,3.28,4.06,3.69,24,2.03,1.92,1.9,1.82,16,0,1.45,1.39,3,2.69
E2,08/08/09,Carlisle,Brentford,1,3,A,1,1,D,M Haywood,15,9,6,6,8,12,15,7,1,0,0,0,2.3,3.25,3.1,2,3.2,3.35,2.05,3.25,3.25,2.1,3.1,3,2.25,3.4,3,2.1,3.25,3.1,2.2,3.2,2.8,2.1,3.2,3.2,2.1,3.25,3.2,2.1,3.25,3.3,30,2.38,2.15,3.4,3.24,3.45,3.14,24,2.12,2,1.82,1.76,17,0,1.7,1.58,2.45,2.22
E2,08/08/09,Charlton,Wycombe,3,2,H,2,1,H,D Deadman,17,10,10,7,14,11,8,4,2,0,0,0,1.67,3.6,5.25,1.65,3.45,4.7,1.67,3.4,4.75,1.65,3.3,4.4,1.73,3.4,5,1.62,3.4,5.2,1.62,3.5,4.5,1.67,3.25,5,1.62,3.5,5,1.67,3.5,5,30,1.73,1.67,3.73,3.45,5.75,4.94,24,2.11,2,1.81,1.76,17,0,1.25,1.24,3.8,3.64
E2,08/08/09,Gillingham,Swindon,5,0,H,1,0,H,G Horwood,10,7,8,3,11,6,2,6,0,2,0,0,2.3,3.3,3.1,2.25,3.2,2.85,2.25,3.25,2.9,2.2,3.1,2.8,2.3,3.4,3,2.25,3.25,2.8,2.25,3.2,2.75,2.2,3.2,3,2.38,3.25,2.8,2.2,3.25,3.1,29,2.47,2.27,3.4,3.24,3.1,2.93,23,2.18,1.98,1.85,1.76,16,0,1.78,1.68,2.28,2.13
E2,08/08/09,Leeds,Exeter,2,1,H,1,0,H,N Miller,16,5,9,3,7,14,7,3,1,3,0,1,1.44,4.2,7.5,1.45,3.8,6.3,1.45,3.75,6.75,1.45,3.8,5.4,1.44,4.33,7,1.44,3.75,7,1.4,4,6.5,1.44,3.75,7,1.44,4,6.5,1.5,3.75,6.5,30,1.5,1.45,4.39,3.91,7.6,6.87,24,1.91,1.81,2.03,1.93,17,0,1.16,1.13,5.5,5.12
E2,08/08/09,Milton Keynes Dons,Hartlepool,0,0,D,0,0,D,K Hill,12,9,7,5,19,17,8,8,2,1,0,0,1.67,3.6,5.25,1.6,3.5,5,1.62,3.5,5,1.6,3.4,4.6,1.67,3.5,5.5,1.6,3.5,5.2,1.6,3.4,4.8,1.62,3.5,5,1.62,3.5,5,1.62,3.5,5.5,29,1.67,1.63,3.88,3.52,5.92,5.17,23,1.93,1.81,2.03,1.94,16,0,1.22,1.21,4.05,3.79
E2,08/08/09,Norwich,Colchester,1,7,A,0,5,A,R Shoebridge,18,15,5,10,17,14,7,1,1,2,0,0,1.83,3.5,4.33,1.75,3.4,4.1,1.75,3.4,4.25,1.75,3.3,3.8,1.8,3.5,4.5,1.8,3.3,4,1.73,3.4,4,1.73,3.4,4.33,1.8,3.4,4,1.8,3.4,4.2,30,1.92,1.79,3.55,3.37,4.53,4.24,24,2.02,1.9,1.93,1.84,17,0,1.35,1.32,3.2,3.07
E2,08/08/09,Oldham,Stockport,0,0,D,0,0,D,O Langford,14,4,9,2,7,13,7,1,1,2,0,0,1.73,3.6,5,1.8,3.4,3.8,1.75,3.4,4.25,1.8,3.2,3.7,1.8,3.5,4.5,1.8,3.3,4,1.8,3.25,3.8,1.73,3.4,4.33,1.75,3.4,4.33,1.73,3.4,4.5,30,1.83,1.76,3.7,3.39,5.38,4.39,24,2.05,1.95,1.88,1.8,17,0,1.36,1.31,3.5,3.11
E2,08/08/09,Southampton,Millwall,1,1,D,0,0,D,M Russell,11,10,5,8,8,11,3,5,0,0,0,0,2,3.4,3.75,2,3.2,3.35,2,3.25,3.4,2.1,3.1,3,2.1,3.4,3.4,1.95,3.25,3.5,2,3.2,3.2,2,3.25,3.4,2,3.25,3.6,2.1,3.25,3.3,28,2.16,2.05,3.4,3.26,3.71,3.38,24,2.07,1.96,1.85,1.79,18,0,1.53,1.48,2.63,2.45
