Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,,
B1,11/08/01,Gent,St Truiden,4,2,H,2,1,H,,,,1.4,3.6,5.5,,,,1.4,4,6.5,1.45,3.9,5.2,,
B1,11/08/01,Anderlecht,Antwerp,3,0,H,0,0,D,,,,1.2,4.7,9,,,,1.2,5.5,10,1.3,4.5,6.8,,
B1,11/08/01,Genk,Beveren,5,1,H,1,1,D,,,,1.55,3.3,4.5,,,,1.57,3.6,5,1.55,3.7,4.5,,
B1,11/08/01,Lierse,Lokeren,1,1,D,1,1,D,,,,1.9,2.9,3.2,,,,2.25,3.2,2.8,2,3.4,2.9,,
B1,11/08/01,Lommel,Molenbeek,1,0,H,0,0,D,,,,1.8,3,3.5,,,,1.62,3.6,4.5,1.7,3.55,3.75,,
B1,12/08/01,Aalst,Mouscron,1,0,H,1,0,H,,,,2.3,3.1,2.3,,,,2.38,3.4,2.5,2.4,3.4,2.35,,
B1,12/08/01,Charleroi,Standard,0,0,D,0,0,D,,,,2.3,3.1,2.3,,,,2.7,3.2,2.3,2.45,3.4,2.3,,
B1,12/08/01,Club Brugge,Westerlo,4,2,H,4,1,H,,,,1.3,4,7,,,,1.33,4.33,7.5,1.35,4.2,6.3,,
B1,12/08/01,Germinal,Louvieroise,8,2,H,3,1,H,,,,1.45,3.5,5,,,,1.44,4,6,,,,,
B1,17/08/01,Mouscron,Gent,0,1,A,0,1,A,,,,2,3,2.9,,,,2.1,3.3,2.88,2.15,3.4,2.65,,
B1,18/08/01,Antwerp,Genk,3,0,H,2,0,H,,,,2,3,2.9,,,,2.25,3.3,2.62,2.45,3.4,2.3,,
B1,18/08/01,Beveren,Lierse,1,1,D,0,1,A,,,,2.3,3.1,2.3,,,,2.25,3.3,2.62,2.3,3.35,2.45,,
B1,18/08/01,Louvieroise,Anderlecht,1,3,A,1,1,D,,,,5,3.5,1.45,,,,6,3.75,1.44,,,,,
B1,18/08/01,Molenbeek,Charleroi,0,1,A,0,0,D,,,,2.3,3,2.4,,,,2.25,3.3,2.62,2.35,3.35,2.4,,
B1,18/08/01,St Truiden,Lommel,4,3,H,1,2,A,,,,2,3,2.9,,,,2,3.2,3.2,1.9,3.5,3.05,,
B1,18/08/01,Standard,Germinal,3,0,H,2,0,H,,,,1.6,3.3,4,,,,1.62,3.5,4.5,1.55,3.6,4.7,,
B1,18/08/01,Westerlo,Aalst,0,1,A,0,0,D,,,,1.65,3.3,3.8,,,,,,,1.6,3.4,4.5,,
B1,19/08/01,Lokeren,Club Brugge,0,1,A,0,1,A,,,,3.2,2.9,1.9,,,,3,3.2,2.1,3.1,3.45,1.9,,
B1,25/08/01,Gent,Westerlo,4,1,H,2,0,H,,,,1.55,3.3,4.5,,,,1.57,3.75,4.5,1.55,3.7,4.5,,
B1,25/08/01,Charleroi,St Truiden,0,3,A,0,1,A,,,,1.6,3.3,4,,,,1.73,3.4,4,1.65,3.5,4.1,,
B1,25/08/01,Lierse,Antwerp,2,1,H,1,0,H,,,,1.55,3.3,4.5,,,,1.73,3.4,4,1.75,3.4,3.65,,
B1,25/08/01,Lommel,Mouscron,3,2,H,2,1,H,,,,2.35,3,2.35,,,,2.4,3.25,2.5,2.25,3.3,2.55,,
B1,26/08/01,Aalst,Lokeren,2,1,H,1,0,H,,,,2.35,3,2.35,,,,2.4,3.4,2.4,2.3,3.4,2.45,,
B1,26/08/01,Club Brugge,Beveren,6,1,H,3,1,H,,,,1.15,5.5,11,,,,1.2,5.5,9,1.15,6,10,,
B1,26/08/01,Germinal,Anderlecht,1,1,D,0,0,D,,,,3.4,3.2,1.75,,,,3.6,3.4,1.8,3.4,3.5,1.83,,
B1,26/08/01,Genk,Louvieroise,5,1,H,2,0,H,,,,1.4,3.6,5.5,,,,1.44,3.75,6,,,,,
B1,26/08/01,Standard,Molenbeek,2,1,H,2,1,H,,,,1.3,4,7,,,,1.22,5.5,8,1.2,5.5,8,,
B1,07/09/01,Mouscron,Charleroi,0,1,A,0,1,A,,,,1.55,3.3,4.5,1.91,3.4,3.25,1.91,3.4,3.25,1.85,3.4,3.25,,
B1,08/09/01,Anderlecht,Genk,3,3,D,1,1,D,,,,1.25,4.3,8,1.3,4.5,7.5,1.3,4.5,7.5,1.3,4.25,7.5,,
B1,08/09/01,Beveren,Aalst,0,4,A,0,1,A,,,,2.3,3,2.4,2.25,3.3,2.62,2.2,3.2,2.8,2.3,3.3,2.5,,
B1,08/09/01,Louvieroise,Lierse,0,0,D,0,0,D,,,,2.9,3,2,2.5,3.3,2.38,2.5,3.25,2.38,,,,,
B1,08/09/01,St Truiden,Standard,1,1,D,1,0,H,,,,3.1,3,1.9,2.62,3.3,2.25,2.88,3.1,2.2,2.65,3.35,2.15,,
B1,08/09/01,Westerlo,Lommel,6,0,H,1,0,H,,,,1.65,3.2,3.9,1.91,3.4,3.25,1.8,3.25,3.75,1.95,3.4,3,,
B1,09/09/01,Antwerp,Club Brugge,1,2,A,1,0,H,,,,4,3.3,1.6,3.8,3.5,1.73,3.75,3.6,1.73,4,3.5,1.65,,
B1,09/09/01,Lokeren,Gent,0,1,A,0,0,D,,,,2.2,2.9,2.7,,,,2.2,3.25,2.75,2.4,3.3,2.4,,
B1,09/09/01,Molenbeek,Germinal,2,2,D,1,1,D,,,,2.35,3,2.35,2.5,3.4,2.3,2.5,3.25,2.38,2.6,3.35,2.2,,
B1,15/09/01,Gent,Beveren,2,1,H,0,1,A,,,,1.25,4.3,8,1.29,4.5,8,1.33,4.33,7,1.3,4.2,7.5,,
B1,15/09/01,Germinal,Genk,1,1,D,0,1,A,,,,1.9,3,3.1,1.91,3.25,3.4,1.83,3.4,3.5,1.95,3.5,2.95,,
B1,15/09/01,Lierse,Anderlecht,2,0,H,0,0,D,,,,3.1,3,1.9,3.5,3.2,1.91,3.6,3.25,1.83,3.3,3.4,1.85,,
B1,15/09/01,Lommel,Lokeren,3,4,A,1,2,A,,,,2.2,2.9,2.7,2.1,3.2,3,2.3,3.25,2.6,2.05,3.4,2.8,,
B1,15/09/01,Molenbeek,St Truiden,1,2,A,1,2,A,,,,2.1,3,2.8,2.4,3.1,2.6,2.3,3.25,2.6,2.3,3.4,2.45,,
B1,16/09/01,Aalst,Antwerp,0,0,D,0,0,D,,,,1.75,3.2,3.4,1.73,3.4,4,1.83,3.4,3.5,1.75,3.6,3.45,,
B1,16/09/01,Charleroi,Westerlo,4,2,H,3,0,H,,,,2,3,2.9,1.85,3.4,3.5,2,3.2,3.2,1.8,3.55,3.3,,
B1,16/09/01,Club Brugge,Louvieroise,2,1,H,0,1,A,,,,1.15,5.5,11,1.14,6,12,1.18,5.5,10,,,,,
B1,16/09/01,Standard,Mouscron,2,1,H,1,0,H,,,,1.35,3.8,6.2,1.4,3.75,7,1.44,3.75,6,1.4,4,5.75,,
B1,22/09/01,Genk,Lierse,4,2,H,2,1,H,,,,2,2.9,3,1.75,3.4,3.8,,,,1.7,3.5,3.8,,
B1,22/09/01,Louvieroise,Aalst,1,3,A,1,0,H,,,,2.35,3,2.35,2.8,3.2,2.2,,,,,,,,
B1,22/09/01,Mouscron,Molenbeek,4,1,H,1,0,H,,,,1.55,3.3,4.5,1.67,3.4,4.33,,,,1.55,3.6,4.6,,
B1,22/09/01,St Truiden,Germinal,2,2,D,0,1,A,,,,2.2,2.9,2.7,2,3.3,3.1,,,,2.05,3.4,2.8,,
B1,23/09/01,Antwerp,Gent,2,3,A,1,0,H,,,,2.8,3,2.1,2.8,3.2,2.2,,,,2.45,3.35,2.3,,
B1,23/09/01,Beveren,Lommel,0,2,A,0,1,A,,,,2.4,2.9,2.4,2.2,3.2,2.8,,,,2.1,3.4,2.7,,
B1,29/09/01,Gent,Louvieroise,2,1,H,2,1,H,,,,1.2,4.7,9,1.22,5,9,1.25,5,8,,,,,
B1,29/09/01,Charleroi,Beveren,1,1,D,1,0,H,,,,1.4,3.6,5.5,1.44,3.6,6.5,1.44,3.75,6,1.4,4,5.75,,
B1,29/09/01,Germinal,Lierse,2,0,H,0,0,D,,,,1.9,2.9,3.2,1.8,3.4,3.6,1.73,3.4,4,1.85,3.4,3.3,,
B1,29/09/01,Lommel,Antwerp,2,2,D,2,1,H,,,,1.85,3,3.3,1.91,3.25,3.4,1.91,3.25,3.4,1.9,3.25,3.3,,
B1,29/09/01,Molenbeek,Westerlo,0,1,A,0,1,A,,,,2.35,3,2.35,2.4,3.4,2.4,2.4,3.4,2.4,2.4,3.3,2.4,,
B1,29/09/01,St Truiden,Mouscron,1,2,A,0,0,D,,,,2,2.9,3,1.85,3.4,3.5,1.91,3.4,3.25,1.9,3.45,3.1,,
B1,30/09/01,Aalst,Anderlecht,1,5,A,1,3,A,,,,3.2,3.1,1.85,2.88,3.3,2.1,3.2,3.5,1.91,3,3.45,1.95,,
B1,30/09/01,Club Brugge,Genk,1,2,A,0,1,A,,,,1.3,4,7,1.44,3.6,6.5,1.36,4.33,6.5,1.4,3.9,6,,
B1,30/09/01,Standard,Lokeren,0,2,A,0,1,A,,,,1.45,3.5,5,1.5,3.6,5.5,1.53,3.6,5,1.45,3.8,5.5,,
B1,09/10/01,Louvieroise,Lommel,0,0,D,0,0,D,,,,2.2,3,2.6,2.5,3.25,2.4,2.4,3.4,2.4,,,,,
B1,10/10/01,Anderlecht,Gent,2,0,H,0,0,D,,,,1.5,3.4,4.7,1.6,3.6,4.5,1.57,3.5,5,1.6,3.55,4.3,,
B1,10/10/01,Antwerp,Charleroi,2,0,H,1,0,H,,,,2.2,3,2.6,2.2,3.4,2.625,2.25,3.4,2.6,2.25,3.35,2.55,,
B1,10/10/01,Beveren,Standard,1,1,D,1,0,H,,,,3.3,3,1.85,3.25,3.4,1.909,3,3.4,2,3.15,3.4,1.9,,
